Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Kredit riski,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Kredit portfelinin keyfiyyəti,,,,,,,,,,,,,,,min manatla
,,,,,,,,,Əsas məbləğ üzrə borc,,,,,,
,,,,,,,,,Vaxtı keçmiş günlər,,,,,,
Kredit portfelinin sektorlar üzrə bölgüsü,Cəmi,,,,,,,,,,,,,,
,,,Cari,,,,,,151-180,,,,271-300,301-330,331-365 1 il və
,,,,,1-30 gün,,31-60 gün,61-90 gün,91-120 gün 121-150 gün,181-210 gün,211-240 gün,241-270 gün,,,
,,,,,,,,,gün,,,,gün,gün,(366) gün artıq
"Kredit portfeli, o cümlədən",,"4,783,112",,"4,440,450","248,655",,"22,565","14,946","7,543 6,601 7,777","3,981","3,643","3,232","3,109","2,964","4,874   12,773"
-Biznes,,"1,610,211",,"1 ,554,499","3 5,786",,"2 ,011","3 ,427","8 96 1 ,308 2 ,827",1 66,4 82,2 25,647,1 91,"2 ,035 5 ,710"
-İstehlak,,"2,562,435",,"2 ,317,183","1 73,821",,"1 9,377","1 0,493","6 ,504 5 ,265 4 ,950","3 ,815","3 ,161","3 ,007","2 ,461","2,773","2 ,839 6 ,785"
-Daşınmaz əmlak,,"610,467",,"568,767","3 9,048",,"1 ,178","1 ,025",1 43 2 8 -,-,-,-,-,-,- 278
,,-,,,,,,,,,,,,,
