Unnamed: 0,Balansdankənar öhdəliklərin ayrı ayrı növləri barədə,Unnamed: 1,Unnamed: 2
,,,(min manatla)
ÖHDƏLİKLƏR,Cəmi,,Xarici valyutada (2-ci sütundan)
"1. Kredit alətləri, cəmi",,"1,872,420","166,315"
a) Kredit öhdəlikləri,,-,-
b) İstifadə olunmamış kredit xətləri,,"1,871,134","166,315"
c) Qiymətli kağızlar və xarici valyuta istisna,,,
,,-,-
"olmaqla, aktivlərin alınması üzrə öhdəliklər",,,
d) Digər öhdəliklər,,"1,286",-
"2. Qarantiyalar və bu qəbildən olan öhdəliklər,",,,
,,"1,285,876","245,835"
cəmi,,,
a) Qarantiyalar,,"1,285,876","245,835"
b) Bu qəbildən olan digər öhdəliklər,,-,-
"3. Akkreditivlər, cəmi",,"6,748","5,510"
"a) ""Standby"" akkreditivlər",,-,-
b) Sənədli akkreditivlər,,"6,748","5,510"
"4. Xarici valyuta müqavilələri üzrə təəhhüdlər, cəmi",,"3,483","3,483"
a) Spot müqavilələri əsasında,,"3,483","3,483"
a1) alqı,,,
a2) satqı,,"3,483","3,483"
5. Törəmə maliyyə alətləri üzrə təəhhüdlər,,"119,000","119,000"
a) Forvard və fyuçers müqavilələri əsasında,,-,-
a1) alqı,,,
a2) satqı,,,
b) Svop müqavilələri əsasında,,"119,000","119,000"
b1) alqı,,-,-
b2) satqı,,"119,000","119,000"
c) Opsion müqavilələri əsasında,,-,-
c1) alqı,,,
c2) satqı,,,
d) Digər törəmə maliyyə alətləri əsasında,,-,-
d1) alqı,,,
d2) satqı,,,
6. Qiymətli kağızlar alınması/satılması üzrə təəhhüdlər,,-,-
a) alqı,,,
b) satqı,,,
7. Digər maliyyə alətlərinin və ya əmtəələrin,,,
,,-,-
alınması/satılması üzrə təəhhüdlər,,,
a) alqı,,,
b) satqı,,,
