MADDƏLƏR,Unnamed: 0,Unnamed: 1,Unnamed: 2,Cəmi,Unnamed: 3,Xarici valyutada (2-ci sütundan)
1. Alınmış qarantiyalar və bu qəbildən olan,,,,,,
,,,,,-,-
maddələr,,,,,,
a) Qarantiyalar,,,,,-,-
b) Bu qəbildən olan digər maddələr,,,,,-,-
2. İxrac akkreditivləri,,,,,-,-
3. Silinmiş aktivlər,,,,,"152,318","14,728"
a) Balansdan silinmiş ümidsiz kreditlərin əsas məb  l ə  ğ  i,,,,,"109,484","6,914"
b) Balansdan silinmiş ümidsiz  kreditlərin faiz b or c  l a,r ı,,,,"35,363","7,814"
c) Balansdan silinmiş digər ümidsiz aktivlərin ə  s asm,ə  b  l ə,ğ  i,,,"7,471",1
d) Balansdan silinmiş digər ümidsiz,,,,,-,-
aktivlərin faiz borcları,,,,,,
4. Ayrılmış kredit xətləri və kreditlər üzrə şərti tələblər,,,,,-,-
5. Digər şərti tələblər (memorandum hesabları nəzərə a l ı n  mı r  ),,,,,-,-
