"Cəmi kredit portfeli, o cümlədən","4,783,112","94,008",1.97%
1.Sənaye,"451,801","1,673",0.37%
1.1.1 Mədən çıxarma,"18,483",45,0.25%
"1.1.2 Emal sənayesi,","169,720","1,628",0.96%
1.1.3 Elektrik enerjisi və,"246,764",-,0.00%
1.1.4 Sənayenin digər,"16,834",-,0.00%
2. Kənd təsərrüfatı,"70,881","3,736",5.27%
3. Tikinti sahəsi,"171,238","1,942",1.13%
"4. Nəqliyyat, cəmi","27,227",146,0.54%
5. İnformasiya və Rabitə,"72,856",-,0.00%
"6. Ticarət müəssisələrinə kredit,","473,473","9,446",2.00%
7. Digər qeyri-istehsal və xidmət,"342,574","2,983",0.87%
8.  Mərkəzi idarəetmə orqanları,-,-,0.00%
və bələdiyyələr,,,
9. İctimai Təşkilatlara,161,-,0.00%
"10. Şəxsi, ailəvi və sair məqsədlər üçün","3,172,902","74,082",2.33%
"fiziki şəxslərə kreditlər, cəmi",,,
a) Yaşayış,"610,467","2,652",0.43%
a1) o,"610,467","2,652",0.43%
cümləd,,,
b) Yaşayış,-,-,0.00%
b1) o,-,-,0.00%
cümləd,,,
c) Avtomobil,-,-,0.00%
d) Məişət,-,-,0.00%
e) Kredit kartları,"640,114","19,754",3.09%
f) Digər,"1,922,321","51,676",2.69%
11. Digər Kreditlər,-,-,0.00%
