Öhdəliklərin maddələri,Unnamed: 0,(Hesabat ili qeyd edilsin),Unnamed: 1,Unnamed: 2,Unnamed: 3
,sabit faizlə,,dəyişkən faizlə,,faizsiz
1. Depozitlər (banklar və digər maliyyə institutları,,,,,
,,"3,736,278",,-,"3,864,811"
"istisna olmaqla), cəmi",,,,,
"a)  Fiziki şəxslərin tələbli depozitləri, cəmi",,-,,-,"1,592,283"
a1) faizsiz tələbli,,,,,"1,592,283"
a2) faizli tələbli,,-,,,
b) Hüquqi şəxslərin tələbli depozitləri (qeyri-,,,,,
bank maliyyə institutlarının cari hesabları,,"1,747,637",,-,"2,272,528"
"da daxil olmaqla), cəmi",,,,,
b1) faizsiz tələbli,,,,,"2,272,528"
b2) faizli tələbli,,"1,747,637",,,
c) Fiziki və hüquqi şəxslərin müddətli,,,,,
,,"1,988,641",,-,-
"depozitləri, cəmi",,,,,
c1) fiziki şəxslərin müddətli depozitləri,,"1,069,171",,,
c2) hüquqi şəxslərin müddətli,,"919,470",,,
"2. Mərkəzi Bankın banka qarşı tələbləri, cəmi",,540,,-,-
a) auksion əsasında,,-,,-,-
b) overdraft,,-,,-,-
c) təminatlı kreditlər (lombard),,-,,-,-
d) digər,,540,,-,-
"3. Digər bankların tələbləri (“Loro"" hesabları), cəmi",,-,,-,"6,563"
a) Rezident banklar,,-,,-,"2,999"
b) Qeyri-rezident banklar,,-,,-,"3,564"
4. REPO əməliyyatları  üzrə,,"28,089",,-,-
5. Banklararası bazarın qısamüddətli maliyyə,,,,,
"alətləri (7-ci gün də daxil olmaqla, 7 günədək olan",,-,,-,-
"kreditlər), cəmi",,,,,
a) Rezident banklar,,-,,-,-
b) Qeyri-rezident banklar,,-,,-,-
6. Bankların və digər maliyyə institutların (3-cü və 5-,,,,,
,,"279,821",,-,-
"ci sətirlər istisna edilməklə) depozitləri, cəmi",,,,,
"6.1  Bankların depozitləri, cəmi",,"279,821",,-,-
a) Rezident banklar,,"279,821",,-,-
b) Qeyri-rezident banklar,,-,,-,-
"6.2 Banklar istisna olmaqla, digər maliyyə",,,,,
,,-,,-,-
"institutlarının depozitləri, cəmi",,,,,
a) Rezident maliyyə institutları,,-,,-,-
b) Qeyri-rezident maliyyə,,-,,-,-
7. Bankların kreditləri (7 gündən artıq olan,,,,,
,,"40,354",,-,-
"müddətə), cəmi",,,,,
"7.1 Rezident banklar, cəmi",,"40,354",,-,-
a) təminatlı,,"40,354",,-,-
b) təminatsız,,-,,-,-
"7.2 Qeyri-rezident banklar, cəmi",,-,,-,-
a) təminatlı,,-,,-,-
b) təminatsız,,-,,-,-
"8. Banklar istisna olmaqla, digər maliyyə",,,,,
,,"474,527",,-,-
"institutlarının kreditləri, cəmi",,,,,
a) Rezident maliyyə,,"474,527",,-,-
b) Qeyri-rezident maliyyə,,-,,,
,,,,-,-
institutlarından alınmış,,,,,
c) Beynəlxalq təşkilatlarından,,,,-,-
9. Mərkəzi idarəetmə orqanlarının depozitləri və,,,,,
,,,,-,-
kreditləri,,-,,,
10. Bələdiyyələrin depozitləri və kreditləri,,-,,-,-
11. Bankın öz ehtiyacları üçün aldığı ipoteka,,,,,
,,,,-,-
kreditləri,,-,,,
12. Bank tərəfindən buraxılmış qiymətli kağızlar,,"2 27,500",,-,-
13. Digər passivlər,,-,,-,"358,169"
14. Kapital,,-,,-,"967,891"
14. Cəmi öhdəliklər,,"4,787,109",,0,"4,229,543"
