Unnamed: 0,Unnamed: 1,Cari hesabat dövrü,Əvvəlki hesabat dövrü
,,30/9/2024,30/9/2023
1,Əməliyyat fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti,,
1.1,Alınmış faizlər,"631,673","521,246"
1.2,Ödənilmiş faizlər,"-139,659","-77,865"
1.3,Alınmış haqq və kommisiyalar,"395,080","298,361"
1.4,Ödənilmiş haqq və kommisiyalar,"-218,062","-149,319"
1.5,Xarici valyuta əməliyyatlarından xalis gəlir,"36,902","31,820"
1.6,Ödənilmiş ümumi və inzibati xərclər,"-185,156","-157,536"
1.7,Alınmış digər əməliyyat gəlirləri,"6,511","2,454"
1.8,Ödənilmiş digər əməliyyat xərcləri,"-159,327","-124,080"
1.9,Ümidsiz borclardan daxilolmalar,0,0
1.1,Alınmış digər əməliyyat gəlirləri,0,0
1.11,Ödənilmiş digər əməliyyat xərcləri,0,0
2,"Əməliyyat aktivlərində və öhdəliklərində dəyişikliklərdən əvvəl bank fəaliyyəti üzrəpul vəsaitlərinin hərəkəti",,
2.1,Əməliyyat aktivlərindən xalis artım/azalma,"-1,571,805","-1,130,328"
2.1.1,"Banklara və maliyyə institutlarına verilmiş kreditlərdə  və depozitlərdə xalis artım(azalma)","-535,930","-132,525"
2.1.2,Müştərilərə verilmiş kreditlərdə xalis artım (azalma),"-854,712","-759,025"
2.1.3,Digər aktivlərdə xalis artım (azalma),"-181,163","-238,778"
2.2,Əməliyyat öhdəliklərindən xalis artım/azalma,"1,725,753","388,795"
2.2.1,"Banklardan və digər maliyyə təşkilatlarından cəlb olunan depozitlər üzrə xalis artım(azalma)","98,347","58,825"
2.2.2,Mərkəzi Bank üzrə öhdəliklırdə xalis artım (azalma),0,0
2.2.3,Müştərilərin depozitləri və cari hesablarında xalis artım (azalma),"1,615,059","388,476"
2.2.4,Digər öhdəliklərdəxalis artım (azalma),"12,347","-58,506"
3,Mənfəət vergisindən əvvəl bank fəaliyyəti üzrə pul vəsaitlərinin hərəkəti,"521,910","-396,452"
3.1,Ödənilmiş mənfəət vergisi,"-54,441","-106,063"
4,Əməliyyat fəaliyyəti ilə əlaqədar generasiya/istifadə edilən xalis pul vəsaitləri,"467,469","-502,515"
5,İnvestisiya fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti,,
5.1,Əmlak və avadanlıqların alınması və avans ödənişləri,"-32,352","-25,507"
5.2,Əmlak və avadanlıqların satılmasından daxilolmalar,0,151
5.3,Qeyri-maddi aktivlərin alınması,"-5,184","-8,917"
5.4,Qeyri-maddi aktivlərin satılmasından daxilolmalar,0,0
5.5,Alınmış dividendlər,0,0
5.6,Satış üçün nəzərdə tutulan investisiya qiymətli kağızlarının satılması və geri alınması,"-590,213","689,677"
5.7,Digər,"-65,020","-31,732"
6,"İnvestisiya fəaliyyəti ilə əlaqədar generasiya/istifadə olunan pul vəsaitlərininhərəkəti","-692,769","623,672"
7,Maliyyələşdirmə fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti,,
7.1,Digər borc öhdəliklərinin əldə olunması,0,0
7.2,Digər borc öhdəliklərinin ödənilməsi,0,0
7.3,Subordinasiya borclarının əldə olunması,0,0
7.4,Səhmdar kapitalının buraxılmasından daxilolmalar,0,0
7.5,Ödənilmiş dividentlər,"158,502","-153,990"
7.6,Digər maliyyə öhdəliklərinin cəlb edilməsi (ödənilməsi),0,0
8,Maliyyələşdirmə fəaliyyəti ilə əlaqədar yaradılan/istifadə olunan pul vəsaitləri,"158,502","-153,990"
9,Dövrün əvvəlinə pul vəsaitləri və pul vəsaitlərinin ekvivalentləri,"1,189,615","1,559,169"
10,Pul vəsaitləri və pul vəsaitlərinin ekvivalentlərində xalis artma/(azalma),"-113,697","-34,668"
11,Məzənnə dəyişikliyinin pul vəsaitləri və pul vəsaitlərinin ekvivalentlərinə təsiri,953,"-1,835"
12,Dövrün sonuna pul vəsaitləri və pul vəsaitlərinin ekvivalentləri,"1,075,918","1,524,501"
