"","","","Mərkəzi Banka göndərilmiş","","","",""
"","","İlin əvvəlinə","","","Müddət ərzində","","Müddətin"
"Kapital Dəyişmələri","","","dəqiqləşdirilmiş kumulyativ","","","",""
"","","qalıq","","","dəyişikliklər","","sonuna qalıq"
"","","","düzəlişlər","","","",""
"1","2","3","4","","5","","6"
"1. Adi Səhmlər","1","205,850","","-","","-","205,850"
"2. Müddətsiz İmtiyazlı Səhmlər","2","60,000","","-","","-","60,000"
"3. Geriyə alınmış adi səhmlər","3","-","","-","","-","-"
"4. Geriyə alınmış müddətsiz imtiyazlı səhmlər","","-","","-","","-","-"
"5. Adi səhmlərin nominal və bazar qiymətləri arasındakı fərq","","","","-","","-","800"
"6. Müddətsiz İmtiyazlı səhmlərin nominal və bazar qiymətləri arasındakı fərq","","","","-","","-","-"
"7. Dividendlər","7","X","X","","","176,113","176,113"
"a) ödənilmiş adi səhmlər üzrə","","","","","","",""
