Unnamed: 0,Kapital strukturunda dəyişikliklər haqqında hesabat,Unnamed: 1,Unnamed: 2
,,,(min manatla)
,Mərkəzi Banka göndərilmiş,,
,İlin əvvəlinə,Müddət ərzində,Müddətin
Kapital Dəyişmələri,dəqiqləşdirilmiş kumulyativ,,
,qalıq,dəyişikliklər,sonuna qalıq
,düzəlişlər,,
1,2 3 4,5,6
1. Adi Səhmlər,"1 205,850 -",-,"205,850"
2. Müddətsiz İmtiyazlı Səhmlər,"2 60,000 -",-,"60,000"
3. Geriyə alınmış adi səhmlər,3 - -,-,-
4. Geriyə alınmış müddətsiz imtiyazlı sə4hmlər,- -,-,-
5. Adi səhmlərin nominal və bazar qiym5ətləri,a  r a  s ı  n  d  a k  ı8 f0ə0rq -,-,800
6. Müddətsiz İmtiyazlı səhmlərin nomin6al və  b  a  z a  r  q  i y  m,-ətləri a  r a  s  ı n  d  a k  ı  f  ə r  q-,-,-
7. Dividendlər,7 X X,"176,113","176,113"
a) ödənilmiş adi səhmlər üzrə,,,
,7a X X,"167,113","167,113"
elan olunmuş dividendlər,,,
b) ödənilmiş müddətsiz,,,
imtiyazlı səhmlər üzrə elan,7b X X,"9,000","9,000"
olunmuş dividendlər,,,
8. Bölüşdürülməmiş xalis mənfəət (zərər8),"346,717 -","232,169","578,886"
a) Əvvəlki illərin xalis mənfəəti (zə8rəari),"326,647 -","66,096","392,742"
b) Cari ilin xalis mənfəət (zərəri),8b X X,"166,073","166,073"
c) Kapital ehtiyatları,"8c 20,070 -",-,"20,070"
9. Ümumi ehtiyatlar,"9 55,721 -","5,119","60,840"
a) kreditlərdən və banklararası,,,
tələblər üzrə mümkün zərərlərin,"9a 26,985 -","5,159","32,143"
ödənilməsi üçün adi ehtiyatlar,,,
b) digər aktivlərdən olan,,,
mümkün zərərlərin ödənilməsi,"9b 19,651 -",(373),"19,278"
üçün adi ehtiyatlar,,,
c) əsas vəsaitlərin yenidən,,,
,"9c 2,065 -",333,"2,398"
qiymətləndirilməsi,,,
d) qiymətli kağızların yenidən,,,
,"9d 7,020 -",-,"7,020"
qiymətləndirilməsi,,,
e) digər ümumi ehtiyatlar,9e - -,-,-
10. Cəmi kapital,"10 669,088 -","237,288","906,376"
