"","","","","","","","Ödəniş müddətinin başlanmasına qalmış günlər (illər)","","","","","","","","O cumlədən"
"A.    Aktivlər","","","","","","","","","","","","","","",""
"","","ani 
 1-7","8-14 
 15-30","31-60  
 61-90","91-120","121-150  
 151-180","181-210","211-240","241-270  
 271-300","301-330","331-365 (366)","1-2 il","2-3 il","3-5 il 
 5 ildən artıq 
 Cəmi 
 sabit faizlə","dəyişkən faizlə 
 faizsiz"
"1. Nağd vəsaitlər (seyflərdə, bankomatlarda, valyuta mübadiləsi şöbələrində,","","","","","","","","","","","","","","-",""
"","A1","818,626 
                               -","-   
                               -","-   
                               -","-","-   
                               -","-","-","-   
                               -","-","-","-","-","-   
                               -                        818,626","-                        818,626"
"yolda)","","","","","","","","","","","","","","",""
"2. AMB-na olan tələblər (məcburi ehtiyat fondu və ya müxbir hesabları)","A2","-                        8,072 
                               -","-   
                               -","-   
                               -","-","-   
                               -","-","-","-   
                               -","-","-","-","-","-
                               -   
                 1,413,113 
                  1,405,042","-                     1,405,042"
"3. “Nostro"" hesabları","A3","124,761 
                               -","-   
                               -","-   
                               -","-","-   
                               -","-","-","-   
                               -","-","-","-","-","-
                               -   
                               -                        124,761","-                        124,761"
"4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də daxil olmaqla","","","","","","","","","","","","","","110,000",""
"","A4","-                        110,000","-   
                               -","-   
                               -","-","-   
                               -","-","-","-   
                               -","-","-","-","-","-   
                               -                        110,000","-   
                               -"
"7 günədək olanlar)","","","","","","","","","","","","","","",""
"5. Banklar daxil da olmaqla, maliyyə institutlarına depozitlər, cəmi","A5","3,403 
                               -","-                           27,200","-   
                               -","-                             3,106","10,200","","-                           12,303","-                           11,407","-","-","-","-","67,620
                               -   
                               -                           67,620","-   
                               -"
"6. Əks REPO əməliyyatları üzrə","A6","-                        577,834","19,759 
                       23,640","-   
                               -","-","-   
                               -","-","-","-   
                               -","-","-","-","-","621,233
                               -   
                               -                        621,233","-   
                               -"
"7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla  qiymətli kağızlara","","","","","","","","","","","","","","1,448,674",""
