B. Öhdəliklər və kapital,Ödəniş müddətinin başlanmasına qalmış günlər (illər),O cumlədən,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,ani,1-7,8-14,15-30,31-60,61-90,91-120,121-150,151-180,181-210,211-240,241-270,271-300,301-330,331-365 (366),1-2 il,2-3 il,3-5 il,5 ildən artıq,Cəmi,sabit faizlə,dəyişkən faizlə,faizsiz
"1. Depozitlər (banklar və digər maliyyə müəssisələri istisna olmaqla), cəmi",B1,"5,706,537","31,774","10,439","130,748","94,685","221,417","130,680","166,589","277,627","176,981","50,495","197,008","355,712","109,909","102,343","119,937","51,817","3,000",1,"7,937,698","4,209,766",-,"3,727,932"
a) fiziki şəxslərin tələbli depozitlər,B1a,"1,419,608",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,419,608",,,"1,419,608"
"b) hüquqi şəxslərin tələbli depozitləri (bütün cari (qeyri-bank maliyyəinstitutlarının cari hesabları da daxil olmaqla) və çek hesabları  daxil olmaqla)",B1b,"4,284,168",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,284,168","1,975,844",,"2,308,324"
c) qaytarılma vaxtı bitməmiş fiziki şəxslərin müddətli depozitlər,B1c,"2,761","16,774","10,439.28","37,748.17","67,685.05","115,753.93","94,280.47","144,688.52","98,777.09","66,381.14","49,694.67","70,407.57","62,779.71","59,908.60","98,943.35","116,731.98","51,816.68",-,-,"1,165,571","1,165,571",,
d) qaytarılma vaxtı bitməmiş hüquqi şəxslərin müddətli depozitlər,B1d,-,"15,000",0.00,"93,000.00","27,000.00","105,663.00","36,400.00","21,900.00","178,850.00","110,600.00",800.00,"126,600.00","292,932.16","50,000.00","3,400.00","3,205.00",-,"3,000.00",1,"1,068,351","1,068,351",,
2. AMB-nın kreditləri,B2,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,540,-,-,-,540,540,-,
"3. “Loro"" hesabları (bankların müxbir hesabları)",B3,"61,295",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"61,295",-,-,"61,295"
4. REPO əməliyyatları üzrə,B4,-,"23,907",-,"4,962",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"28,869","28,869",-,-
"5. Banklararası bazarın qazanılmış qısamüddətli maliyyə alətləri (7-ci gün dədaxil olmaqla 7 günədək  olanlar)",B5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6. Bankların və digər maliyyə institutların depozitləri,B6,25,-,-,"27,200",500,-,"5,372",-,"11,600",121,-,-,-,127,-,"1,450",-,"53,299","1,881","101,574","101,574",-,-
7. Banklardan alınmış kreditlər (7 gündən artıq müddətli olanlar),B7,-,-,-,-,-,"40,354",-,-,-,-,-,-,-,-,-,-,-,-,-,"40,354","40,354",-,-
"8. Beynəlxalq təşkilatlar daxil olmaqla, digər maliyyə institutlarından alınmışkreditlər",B8,-,-,-,-,124,32,-,125,"3,000",22,"1,001",121,123,"1,035",557,"8,659","9,727","12,622","451,348","488,497","488,497",-,-
9. Mərkəzi  idarəetmə orqanlarının kreditləri və depozitləri,B9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10. Bələdiyyələrin kreditləri və depozitləri,B10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11. Öz ehtiyatları üçün bank tərəfindən alınmış ipoteka kreditləri,B11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"12. Ödəmə müddətli imtiyazlı səhmlər daxil olmaqla, bank tərəfindənburaxılmış subordinasiyalı borc və sair bu qəbildən olan borc öhdəlikləri",B12,-,-,-,-,-,-,-,-,-,-,-,"100,000",-,-,-,-,-,"17,000","212,500","329,500","329,500",-,-
13. Digər passivlər,B13,"382,601",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"382,601",-,-,"382,601"
14. Kapital,B14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"906,376","906,376",-,-,"906,376"
15. Cəmi passivlər (öhdəliklər üstəgəl kapital),B15,"6,150,458","55,681","10,439","162,910","95,310","261,803","136,052","166,714","292,227","177,125","51,496","297,128","355,835","111,071","102,901","130,585","61,544","85,921","1,572,105","10,277,304","5,199,101",-,"4,171,828"
16.  Hər bir dövr üçün maliyyə aktivlərinin (passivlərinin) xalis məbləği,B16,"(5,198,561)","1,176,365","38,953","(45,082)","127,122","(60,835)","85,283","16,198","(104,615)","8,534","146,595","(4,762)","(178,643)","71,782","115,119","1,842,280","801,939","524,949","637,378",-,"2,416,292",-,"(1,182,613)"
