C. Balansdankənar öhdəliklər,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Ödəniş müddətinin başlanmasına qalmış günlər (illər),Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,O cumlədən,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,ani,,1-7,8-14,15-30,31-60,,61-90,,91-120,,121-150,,151-180   181-210   211-240,241-270,,271-300,,301-330,,331-365 (366),,1-2 il,,2-3 il,,3-5 il,,5 ildən artıq,,Cəmi,sabit faizlə,dəyişkən faizlə,,faizsiz,
"1. Aktivlərin əldə edilməsi üzrə öhdəliklər daxil olmaqla, kredit alətləri, cəmi",C1,-,,"1,539,153","410,441","102,610",-,,-,,-,,-,,---,-,,-,,-,,-,,-,,-,,-,,-,,"2,052,204","2,052,204.24",,-,,-
"2. Qarantiyalar və bu qəbildən olan öhdəliklər, cəmi",C2,-,,"16,741","52,390","32,911","128,585",,"151,039",,"305,370",,"130,992",,"78,887 95,063 54,097","72,529",,"67,521",,"42,462",,"48,521",,"158,622",,"49,117",,897,,-,,"1,485,743","1,485,743.07",,-,,-
"3. Akkreditivlər, cəmi",C3,-,,43,-,-,-,,806,,"1,798",,-,,---,"5,465",,-,,-,,-,,-,,-,,-,,-,,"8,111","8,111.10",-,,-,
"4. Xarici valyuta müqavilələri üzrə təəhhüdlər, cəmi",C4,540,,"2,918",-,-,-,,-,,-,,-,,---,-,,-,,-,,-,,-,,-,,-,,-,,"3,458","3,458.00",,-,,-
"5. Qiymətli kağızlar alınması/satılması üzrə təəhhüdlər, cəmi",C5,-,,-,-,-,-,,-,,-,,-,,---,-,,-,,-,,-,,-,,-,,-,,-,,-,-,,-,,-
6. Digər maliyyə alətlərinin və ya əmtəələrin alınması/satılması üzrə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C6,-,,-,-,-,-,,-,,-,,-,,---,-,,-,,-,,-,,-,,-,,-,,-,,-,-,,-,,-
"təəhhüdlər, cəmi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Digər balansdankənar öhdəliklər,C7,-,,-,-,-,-,,-,,-,,-,,---,-,,-,,-,,-,,-,,-,,-,,-,,-,-,,-,,-
8. Cəmi balansdankənar öhdəliklər,C8,540,,"1,558,855","462,831","135,522","128,585",,"151,844",,"307,167",,"130,992",,"78,887 95,063 54,097","77,994",,"67,521",,"42,462",,"48,521",,"158,622",,"49,117",,897,,-,,"3,549,516","3,549,516",,-,,-
9. Hər dövr üçün maliyyə aktivlərinin (passivlərinin) xalis məbləği.,C9,"(5,199,101)",,"(382,490)","(423,878)","(180,604)","(1,463)",,"(212,680)",,"(221,885)",,"(114,793)",,"(183,501) (86,529) 92,498","(82,756)",,"(246,164)",,"29,320",,"66,598",,"1,683,658",,"752,823",,"524,052",,"637,378",,"(3,549,516)","93,736",,-,"(1,468,198)",
"9.1.(Çıx) Bloklaşdırılmış hesablar,cəmi",C9_1,-,,-,-,-,-,,-,,-,,-,,---,-,,-,,-,,-,,-,,-,,-,,"1,413,113",,"1,413,113","1,413,113",,-,,-
10. Kumulyativ məcmu,C10,"(5,199,101)",,"(382,490)","(423,878)","(180,604)","(1,463)",,"(212,680)",,"(221,885)",,"(114,793)",,"(183,501) (86,529) 92,498","(82,756)",,"(246,164)",,"29,320",,"66,598",,"1,683,658",,"752,823",,"524,052",,"(775,736)",,"(4,962,630)","(322,173)",,-,"(1,468,198)",
11. Hesabat dövrünün son ayına likvid aktivlərin orta gündəlik qalığları (cədvəl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C11,"3,435,654",,X,X,X,X,,X,,X,,X,,X X X,X,,X,,X,,X,,X,,X,,X,,X,,X,X,X,,X,
M5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12. Hesabat dövrünün son ayına öhdəliklərin orta gündəlik qalığı (cədvəl M6),C12,"5,928,074",,X,X,X,X,,X,,X,,X,,X X X,X,,X,,X,,X,,X,,X,,X,,X,,X,X,X,,X,
13.Ani likvidlik əmsalı,C13,58,,X,X,X,X,,X,,X,,X,,X X X,X,,X,,X,,X,,X,,X,,X,,X,,X,X,X,,X,
