"","Faiz riski",""
"","","min manatla"
"1","Faiz dərəcəsinə görə cəmi aktivlər","7,615,393"
"1.1","0-3 ay","1,633,159"
"1.2","3-6 ay","591,859"
"1.3","6-12 ay","1,254,180"
"1.4","12-24 ay","1,972,865"
"1.5","24-36 ay","863,483"
"1.6","36 aydan yuxarı","1,299,845"
"2","Faiz dərəcəsinə həssas cəmi öhdəliklər","7,162,057"
"2.1","0-3 ay","3,115,132"
"2.2","3-6 ay","1,169,889"
"2.3","6-12 ay","1,988,002"
"2.4","12-24 ay","250,522"
"2.5","24-36 ay","113,360"
"2.6","36 aydan yuxarı","525,151"
"3","“Qəp”","453,336"
"3.1","0-3 ay","(1,481,972)"
"3.2","3-6 ay","(578,030)"
"3.3","6-12 ay","(733,822)"
"3.4","12-24 ay","1,722,343"
"3.5","24-36 ay","750,123"
"3.6","36 aydan yuxarı","774,694"
