,Ödəniş müddətinin bitməsinə qalan günlər,Ani,1 - 7 gün,8-90 gün,3-6 ay,6 ay- 9 ay,9 ay-1 il,1-2 il,2-5 il,5 ildən çox,Ümumi
1,Aktivlər,"951,897","1,232,046","590,620","578,552","677,119","590,369","1,972,865","1,474,353","2,209,482","10,277,304"
1.1,Nağd pul və ekvivalentləri,"810,554",-,,,,,,-,"1,413,113","2,223,667"
1.2,Qiymətli kağızlar,"2,550","295,995","118,524","86,965","219,448","129,513","466,426","219,055","139,560","1,678,037"
1.3,Müştərilərə verilmiş kreditlər (xalis),"10,629","42,128","397,717","477,012","443,896","436,631","1,505,262","1,254,767","546,864","5,114,906"
1.4,Kredit təşkilarına və digər maliyyə institutlarına verilmiş kreditlər (xalis),-,-,"3,780","14,575",469,514,"1,177",531,"2,550","23,596"
1.5,Əks REPO əməliyyatları üzrə,-,"577,834","43,399",,,,,-,-,"621,233"
1.6,Qısamüddətli maliyyə alətləri,-,"110,000",,,,,,-,-,"110,000"
1.7,Törəmə maliyyə alətləri,-,-,,,,,,-,-,-
1.8,Bankın depozitləri,"3,403",-,"27,200",,"13,306","23,711",,-,-,"67,620"
1.9,"“Nostro"" hesabları","124,761",-,,,,,,-,-,"124,761"
1.9.1,16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyatlar,-,-,,,,,,-,"(589,379)","(589,379)"
1.9.2,Digər maliyyə aktivlər,-,"206,089",,,,,,-,"696,773","902,862"
2,Öhdəliklər,"6,150,458","55,681","530,461","594,993","425,748","669,806","130,585","144,465","1,575,107","10,277,304"
2.1,ARMB və dövlət təşkilatlarının banka qarşı tələbləri,-,-,,,,,540,-,-,540
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,25,"23,907","73,172","20,097","1,265","1,842","10,108","75,648","453,230","659,294"
2.3,Müştərilərin depozitləri:,"5,706,537","31,774","457,289","574,896","424,483","567,964","119,937","51,817","3,001","7,937,698"
2.3.1,tələbli depozitlər,"5,703,776",-,,,,,,-,-,"5,703,776"
2.3.2,müddətli depozitlər,"2,761","31,774","457,289","574,896","424,483","567,964","119,937","51,817","3,001","2,233,922"
2.4,Subordinasiya öhdəlikləri,-,-,,,,"100,000",,"17,000","212,500","329,500"
2.5,Borc qiymətli kağızları,-,-,,,,,,-,-,-
2.6,"“Loro"" hesabları","61,295",-,,,,,,-,-,"61,295"
2.7,Digər maliyyə öhdəliklər,"382,601",-,,,,,,-,-,"382,601"
2.8,Kapital,-,-,,,,,,-,"906,376","906,376"
3,"Likvidlik ""qəpi""","(5,198,561)","1,176,365","60,159","(16,441)","251,371","(79,437)","1,842,280","1,329,888","634,376",
