Balansdankənar öhdəliklərin ayrı ayrı növləri barədə,,
(min manatla),,
ÖHDƏLİKLƏR,Cəmi,"Xarici valyutada (2-ci 
sütundan)"
"1. Kredit alətləri, cəmi","2,052,204","137,879"
a) Kredit öhdəlikləri,-,-
b) İstifadə olunmamış kredit xətləri,"2,051,818","137,879"
"c) Qiymətli kağızlar və xarici valyuta istisna olmaqla, aktivlərin alınması üzrə öhdəliklər",-,-
d) Digər öhdəliklər,387,-
"2. Qarantiyalar və bu qəbildən olan öhdəliklər, cəmi","1,485,743","216,063"
a) Qarantiyalar,"1,485,743","216,063"
b) Bu qəbildən olan digər öhdəliklər,-,-
"3. Akkreditivlər, cəmi","8,111","7,081"
"a) ""Standby"" akkreditivlər",-,-
b) Sənədli akkreditivlər,"8,111","7,081"
"4. Xarici valyuta müqavilələri üzrə təəhhüdlər, cəmi","3,458","3,458"
a) Spot müqavilələri əsasında,"3,458","3,458"
a1) alqı,,
a2) satqı,"3,458","3,458"
5. Törəmə maliyyə alətləri üzrə təəhhüdlər,-,-
a) Forvard və fyuçers müqavilələri əsasında,-,-
a1) alqı,,
a2) satqı,,
b) Svop müqavilələri əsasında,-,-
b1) alqı,,
b2) satqı,,
c) Opsion müqavilələri əsasında,-,-
c1) alqı,,
c2) satqı,,
d) Digər törəmə maliyyə alətləri əsasında,-,-
d1) alqı,,
d2) satqı,,
6. Qiymətli kağızlar alınması/satılması üzrə təəhhüdlər,-,-
a) alqı,,
b) satqı,,
7. Digər maliyyə alətlərinin və ya əmtəələrin alınması/satılması üzrə təəhhüdlər,-,-
a) alqı,,
b) satqı,,
8. Digər balansdankənar öhdəliklər,,
