,,,,Kredit riski,,,,,,,,,,,,,
Kredit portfelinin keyfiyyəti,,,,,,,,,,,,,,,,,min manatla
,,,,,,,,Əsas məbləğ üzrə borc,,,,,,,,,
,Kredit portfelinin sektorlar üzrə bölgüsü,Cəmi,,,,,,,Vaxtı keçmiş günlər,,,,,,,,
,,,Cari,,,,,,,,,,,271-300,301-330,331-365,1 il və
,,,,1-30 gün,31-60 gün,61-90 gün,91-120 gün,,121-150 gün,151-180 gün,181-210 gün 211-240 gün 241-270 gün,,,gün,gün,(366) gün,artıq
"Kredit portfeli, o cümlədən",,"5,114,906","4,710,428","305,147","28,327","14,139","9,140",,"6,383","6,567","8,548","4,590","4,115","1,648","2,143","1,742","11,990"
-Biznes,,"1,689,217","1,592,836","73,777","4,257","1,796",,"1,090",461,701,"3,784",297,"1,289",106,428,134,"8,260"
-İstehlak,,"2,815,683","2,546,443","195,993","22,275","11,648",,"7,897","5,852","5,375","4,764","4,293","2,825","1,542","1,715","1,609","3,452"
-Daşınmaz əmlak,,"610,006","571,149","35,377","1,795",694,,154,70,490,-,-,-,-,-,-,278
-Digər kreditlər,,,,,,,,,,,,,,,,,
Kreditlərin təminat üzrə bölgüsü,,,,,,,,,,,,,,,,,
,,,,,,,,,,min manatla,,,,,,,
,,,,,,Daşınmaz,Daşınar əmlakla təmin,,Qarantiyalar ilə,Kredit törəmə alətləri,,,,,,,
,Kredit portfelinin sektorlar üzrə bölgüsü,Cəmi,Təminatsız,Nağd vəsaitlə təmin olunan,Qızıl təminatlı,əmlakla təmin,olunan,,təmin olunan,ilə təmin olunan,,,,,,,
,,,,,,olunan,,,,,,,,,,,
"Kredit portfeli, o cümlədən",,"5,114,906","3,933,091","396,695",,"779,190",,"5,931",-,-,,,,,,,
-Biznes,,"1,689,217","1,168,331","345,771",,"169,184",,"5,931",,,,,,,,,
-İstehlak,,"2,815,683","2,764,759","50,924",,,,,,,,,,,,,
-Daşınmaz əmlak,,"610,006",-,-,,"610,006",,,,,,,,,,,
-Digər kreditlər,,-,-,-,,,,,,,,,,,,,
,,,Likvidlik riski,,,,,,,,,,,,,,
,,,,,,,,,,,,,min manatla,,,,
,,Ödəniş müddətinin bitməsinə qalan günlər,Ani,1 - 7 gün,8-90 gün,3-6 ay,6 ay- 9 ay,,9 ay-1 il,1-2 il,2-5 il,5 ildən çox,Ümumi,,,,
,1,Aktivlər,"951,897","1,232,046","590,620","578,552",,"677,119","590,369","1,972,865","1,474,353","2,209,482","10,277,304",,,,
,1.1,Nağd pul və ekvivalentləri,"810,554",-,,,,,,,-,"1,413,113","2,223,667",,,,
,1.2,Qiymətli kağızlar,"2,550","295,995","118,524","86,965",,"219,448","129,513","466,426","219,055","139,560","1,678,037",,,,
,1.3,Müştərilərə verilmiş kreditlər (xalis),"10,629","42,128","397,717","477,012",,"443,896","436,631","1,505,262","1,254,767","546,864","5,114,906",,,,
,1.4,Kredit təşkilarına və digər maliyyə institutlarına verilmiş kreditlər (xalis),-,-,"3,780","14,575",,469,514,"1,177",531,"2,550","23,596",,,,
,1.5,Əks REPO əməliyyatları üzrə,-,"577,834","43,399",,,,,,-,-,"621,233",,,,
,1.6,Qısamüddətli maliyyə alətləri,-,"110,000",,,,,,,-,-,"110,000",,,,
,1.7,Törəmə maliyyə alətləri,-,-,,,,,,,-,-,-,,,,
,1.8,Bankın depozitləri,"3,403",-,"27,200",,,"13,306","23,711",,-,-,"67,620",,,,
,1.9,"“Nostro"" hesabları","124,761",-,,,,,,,-,-,"124,761",,,,
,1.9.1,16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyatlar,-,-,,,,,,,-,"(589,379)","(589,379)",,,,
,1.9.2,Digər maliyyə aktivlər,-,"206,089",,,,,,,-,"696,773","902,862",,,,
,2,Öhdəliklər,"6,150,458","55,681","530,461","594,993",,"425,748","669,806","130,585","144,465","1,575,107","10,277,304",,,,
,2.1,ARMB və dövlət təşkilatlarının banka qarşı tələbləri,-,-,,,,,,540,-,-,540,,,,
,2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,25,"23,907","73,172","20,097",,"1,265","1,842","10,108","75,648","453,230","659,294",,,,
,2.3,Müştərilərin depozitləri:,"5,706,537","31,774","457,289","574,896","424,483",,"567,964","119,937","51,817","3,001","7,937,698",,,,
,2.3.1,tələbli depozitlər,"5,703,776",-,,,,,,,-,-,"5,703,776",,,,
,2.3.2,müddətli depozitlər,"2,761","31,774","457,289","574,896",,"424,483","567,964","119,937","51,817","3,001","2,233,922",,,,
,2.4,Subordinasiya öhdəlikləri,-,-,,,,,"100,000",,"17,000","212,500","329,500",,,,
,2.5,Borc qiymətli kağızları,-,-,,,,,,,-,-,-,,,,
,2.6,"“Loro"" hesabları","61,295",-,,,,,,,-,-,"61,295",,,,
,2.7,Digər maliyyə öhdəliklər,"382,601",-,,,,,,,-,-,"382,601",,,,
,2.8,Kapital,-,-,,,,,,,-,"906,376","906,376",,,,
,3,"Likvidlik ""qəpi""","(5,198,561)","1,176,365","60,159","(16,441)",,"251,371","(79,437)","1,842,280","1,329,888","634,376",,,,,
,,Valyuta riski,,,,,,,,,,,,,,,
,,,,,,,,min manatla,,,,,,,,,
,,Maliyyə aktivləri və öhdəlikləri,Cəmi,AZN,ABŞ Dolları,Avro,Digər,,,,,,,,,,
,1,Aktivlər,"10,277,304","8,579,515","1,600,822","78,395",,"18,573",,,,,,,,,
,1.1,Nağd və nağd pul ekvivalentləri,"2,348,428","1,948,821","306,266","75,835",,"17,505",,,,,,,,,
,1.2,Qiymətli kağızlar/Əks-Repo,"2,296,323","1,507,561","788,763",0,,0,,,,,,,,,
,1.3,Müştərilərə verilmiş kreditlər,"4,572,358","4,158,653","412,698","1,007",,0,,,,,,,,,
,1.4,Kredit təşkilatlarına və digər maliyyə institutlarına verilmiş kreditlər/depozitlər,"91,216","44,847","46,370",0,,0,,,,,,,,,
,1.5,Törəmə maliyyə alətləri,0,0,0,0,,0,,,,,,,,,
,1.6,Qısa müddətli maliyyə alətləri,"110,000","110,000",0,0,,0,,,,,,,,,
,1.7,Əsas vəsaitlər,"122,501","122,501",0,0,,0,,,,,,,,,
,1.8,İnvestisiyalar və maliyyə iştirakı (xalis),"139,574","131,113","8,461",0,,0,,,,,,,,,
,1.9,Digər aktivlər,"596,904","556,019","38,265","1,553",,"1,067",,,,,,,,,
,2,Öhdəliklər,"9,370,929","7,763,580","1,510,283","79,256",,"17,809",,,,,,,,,
,2.1,Mərkəzi Bank və dövlət təşkilatlarıın banka qarşı tələbləri,540,540,0,0,,0,,,,,,,,,
,2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,"720,590","613,332","106,243",990,,25,,,,,,,,,
,2.3,Müştərilərin depozitləri,"7,937,698","6,680,972","1,163,540","75,600",,"17,585",,,,,,,,,
,2.3.1,a) tələbli depozitlər,"5,703,776","4,953,526","657,064","75,600",,"17,585",,,,,,,,,
,2.3.2,b) müddətli depozitlər,"2,233,922","1,727,446","506,476",0,,0,,,,,,,,,
,2.4,Subordinasiya öhdəlikləri,"229,500",0,"229,500",0,,0,,,,,,,,,
,2.5,Borc qiymətli kağızları,"100,000","100,000",0,0,,0,,,,,,,,,
,2.6,Digər öhdəliklər,"382,601","368,736","11,000","2,666",,199,,,,,,,,,
,3,Balans kapital,"906,376","906,376",0,0,,0,,,,,,,,,
,,Öhdəliklərin və kapitalın cəmisi,"10,277,304","8,669,956","1,510,283","79,256",,"17,809",,,,,,,,,
,,,,,,,,faizlə,,,,,,,,,
,3,Açıq valyuta mövqeyi əmsalı,,,-0.07%,-0.84%,,-0.30%,,,,,,,,,
,3.1,Sərbəst dönərli valyutalar üzrə məcmu açıq valyuta mövqeyi (AVM),-0.86%,,,,,,,,,,,,,,
,3.2,Qapalı valyuta üzrə məcmu AVM,-0.35%,,,,,,,,,,,,,,
,3.3,Qiymətli metallar üzrə AVM,0.00%,,,,,,,,,,,,,,
,3.4,Məcmu AVM,-4.34%,,-0.07%,-0.84%,,-0.30%,,,,,,,,,
,,Faiz riski,,,,,,,,,,,,,,,
,,,min manatla,,,,,,,,,,,,,,
,1,Faiz dərəcəsinə görə cəmi aktivlər,"7,615,393",,,,,,,,,,,,,,
,1.1,0-3 ay,"1,633,159",,,,,,,,,,,,,,
,1.2,3-6 ay,"591,859",,,,,,,,,,,,,,
,1.3,6-12 ay,"1,254,180",,,,,,,,,,,,,,
,1.4,12-24 ay,"1,972,865",,,,,,,,,,,,,,
,1.5,24-36 ay,"863,483",,,,,,,,,,,,,,
,1.6,36 aydan yuxarı,"1,299,845",,,,,,,,,,,,,,
,2,Faiz dərəcəsinə həssas cəmi öhdəliklər,"7,162,057",,,,,,,,,,,,,,
,2.1,0-3 ay,"3,115,132",,,,,,,,,,,,,,
,2.2,3-6 ay,"1,169,889",,,,,,,,,,,,,,
,2.3,6-12 ay,"1,988,002",,,,,,,,,,,,,,
,2.4,12-24 ay,"250,522",,,,,,,,,,,,,,
,2.5,24-36 ay,"113,360",,,,,,,,,,,,,,
,2.6,36 aydan yuxarı,"525,151",,,,,,,,,,,,,,
,3,“Qəp”,"453,336",,,,,,,,,,,,,,
,3.1,0-3 ay,"(1,481,972)",,,,,,,,,,,,,,
,3.2,3-6 ay,"(578,030)",,,,,,,,,,,,,,
,3.3,6-12 ay,"(733,822)",,,,,,,,,,,,,,
,3.4,12-24 ay,"1,722,343",,,,,,,,,,,,,,
,3.5,24-36 ay,"750,123",,,,,,,,,,,,,,
,3.6,36 aydan yuxarı,"774,694",,,,,,,,,,,,,,
,,Aidiyyəti şəxslərlə bağlanılmış bütün əqdlər (min manatla),,,,,,,,,,,,,,,
