,"Kreditlərin, həmçinin vaxtı keçmiş kreditlərin portfeldə payı və onun iqtisadi sektorlar üzrə göstəriciləri",,
Kreditlərin iqtisadi sektorlar üzrə bölgüsü,Cəmi   (min manatla),Vaxtı keçmiş kreditlər (min,Vaxtı keçmiş kreditlərin portfeldə payı
,,manatla)*,(faizlə)
"Cəmi kredit portfeli, o cümlədən","5,114,906","99,331",1.94%
1.Sənaye,"442,032","1,821",0.41%
1.1.1 Mədən çıxarma sənayesi,"17,236",18,0.11%
"1.1.2 Emal sənayesi, cəmi","121,493","1,617",1.33%
1.1.3 Elektrik enerjisi və Qazın istehsalı,"291,735",-,0.00%
1.1.4 Sənayenin digər sahələri,"11,568",186,1.60%
2. Kənd təsərrüfatı,"80,941","3,758",4.64%
3. Tikinti sahəsi,"116,893",720,0.62%
"4. Nəqliyyat, cəmi","30,834",370,1.20%
5. İnformasiya və Rabitə,"62,218",-,0.00%
"6. Ticarət müəssisələrinə kredit, cəmi","498,583","11,326",2.27%
7. Digər qeyri-istehsal və xidmət sahələri,"457,570","4,610",1.01%
8.  Mərkəzi idarəetmə orqanları və bələdiyyələr,-,-,0.00%
9. İctimai Təşkilatlara,145,-,0.00%
"10. Şəxsi, ailəvi və sair məqsədlər üçün fiziki şəxslərə kreditlər, cəmi","3,425,689","76,727",2.24%
a) Yaşayış sahəsinin alınmasına,"610,006","3,481",0.57%
"a1) o cümlədən,  daşınmaz əmlakla təmin olunmuş","610,006","3,481",0.57%
b) Yaşayış sahəsinin tikintisi və təmirinə,-,-,0.00%
"b1) o cümlədən,  daşınmaz əmlakla təmin olunmuş",-,-,0.00%
c) Avtomobil alınmasına,-,-,0.00%
d) Məişət avadanlıqlarının alınmasına,-,-,0.00%
e) Kredit kartları,"672,299","17,822",2.65%
f) Digər,"2,143,384","55,425",2.59%
11. Digər Kreditlər,-,-,0.00%
"*əsas məbləğ, yaxud ona hesablanan faizlər və ya hər hansı birinin ödənilməyən hissəsi üzrə ödənişləri müqavilədə və ya ödəniş qrafikində göstərilən tarixdən 30 (otuz) təqvim günündən artıq gecikdirilmiş kreditin qalıq məbləği",,,
