,,,Kreditlərin təsnifləşdirilməsi haqqında məlumatlar,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,(min manatla),,,,,,,,,,,,,,,,,
,,,,Cəmi kredit portfelində,,,,Yaradılmış adi ehtiyatın,,Yaradılmış,Yaradılmış məqsədli,,,,,,,,,,,,,,,,,,
,,Məbləğ,,xüsusi çəkisi,,Yaradılmış adi ehtiyat,,kredit portfelində  payı,,məqsədli ehtiyat,ehtiyatın kredit portfelində,,,,,,,,,,,,,,,,,,
,,,,,,,,(faizlə),,,payı (faizlə),,,,,,,,,,,,,,,,,,
"1. Cəmi kredit portfeli, o cümlədən",,,"5,114,906",X,,,"31,573",,0.62%,"542,548",,10.61%,,,,,,,,,,,,,,,,,
1.1.Standart kreditlər,,,"2,818,856",,55.11%,,"31,573",,0.62%,X,X,,,,,,,,,,,,,,,,,,
1.1.1. Qənaətbəxş kreditlər,,,"2,680,399",,52.40%,,"26,804",,0.52%,X,X,,,,,,,,,,,,,,,,,,
1.1.2. Nəzarət altında olan kreditlər,,,"138,457",,2.71%,,"4,769",,0.09%,X,X,,,,,,,,,,,,,,,,,,
1.2. Qeyri-standart kreditlər,,,"1,844,295",,36.06%,X,,X,,"542,548",,10.61%,,,,,,,,,,,,,,,,,
Qeyri-qənaətbəxş,,,"1,723,514",,33.70%,X,,X,,"427,797",,8.36%,,,,,,,,,,,,,,,,,
Təhlükəli,,,"12,058",,0.24%,X,,X,,"6,029",,0.12%,,,,,,,,,,,,,,,,,
Ümidsiz,,,"108,722",,2.13%,X,,X,,"108,722",,2.13%,,,,,,,,,,,,,,,,,
1.3. Ehtiyat yaradılmayan kreditlər,,,"451,756",,8.83%,X,,X,,X,X,,,,,,,,,,,,,,,,,,
,,,,,,,"Kreditlərin, o cümlədən, vaxtı keçmiş kreditlərin iqtisadi rayonlar üzrə bölgüsü(min manatla)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,İqtisadi rayonlar üzrə ayrılıqda,,,,,,,,,,,,
,№,Müştəri və kreditlər,,Cəmi sayı,,Cəmi məbləğ,,,Bakı-Abşeron,,,Quba-Xaçmaz,,Dağlıq Şirvan,,Aran,,Lənkəran-Astara,,Şəki-Zaqatala,,Gəncə-Qazax,,Yuxarı Qarabağ,,Kəlbəcər-Laçın,,Naxçıvan MR,
,,,,,,,,Sayı,,Məbləğ,Sayı,,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ
,1,Hesabat tarixinə  xidmət göstərilən müştərilər,,,"1,539,749",,X,,"1,113,608",X,,"36,524",X,"12,351",X,"156,246",X,"55,160",X,"28,458",X,"73,221",X,"25,574",X,168,X,"38,439",X
,2,Kredit portfeli,,,"1,947,356",,"5,114,906",,"1,413,571","3,883,618",,"45,972","76,451","15,108","28,607","198,890","404,389","69,927","127,798","33,441","71,767","88,923","237,195","32,557","59,750",224,871,"48,743","224,460"
,3,Vaxtı keçmiş kreditlər,,,"26,919",,"99,331",,"20,716","80,001",,485,"1,995",252,412,"2,232","4,901",697,"1,374",477,865,"1,334","3,827",313,801,0,0,413,"5,156"
