,,(min manatla)
Öhdəliklərin maddələri,(Hesabat ili qeyd edilsin),
,sabit faizlə,"dəyişkən faizlə
faizsiz"
"1. Depozitlər (banklar və digər maliyyə institutları istisna olmaqla), cəmi","4,209,766","-                                                     3,727,932"
"a)  Fiziki şəxslərin tələbli depozitləri, cəmi",-,"-                                                     1,419,608"
a1) faizsiz tələbli depozitlər,-,"-                                                     1,419,608"
a2) faizli tələbli depozitlər,-,"-   
                                                               -"
b) Hüquqi şəxslərin tələbli depozitləri (qeyri-bank maliyyə institutlarının cari hesabları,"1,975,844","-                                                     2,308,324"
"da daxil olmaqla), cəmi",,
b1) faizsiz tələbli depozitlər,-,"-                                                     2,308,324"
b2) faizli tələbli depozitlər,"1,975,844","-   
                                                               -"
"c) Fiziki və hüquqi şəxslərin müddətli depozitləri, cəmi","2,233,922","-   
                                                               -"
c1) fiziki şəxslərin müddətli depozitləri,"1,165,571",
c2) hüquqi şəxslərin müddətli depozitləri,"1,068,351",
"2. Mərkəzi Bankın banka qarşı tələbləri, cəmi",540,"-   
                                                               -"
a) auksion əsasında,-,"-   
                                                               -"
b) overdraft,-,"-   
                                                               -"
c) təminatlı kreditlər (lombard),-,"-   
                                                               -"
d) digər,540,"-   
                                                               -"
"3. Digər bankların tələbləri (“Loro"" hesabları), cəmi",-,"-                                                          61,295"
a) Rezident banklar,-,"-                                                          47,928"
b) Qeyri-rezident banklar,-,"-                                                          13,367"
4. REPO əməliyyatları  üzrə,"28,869","-   
                                                               -"
"5. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də daxil olmaqla, 7 günədək",-,"-   
                                                               -"
"olan kreditlər), cəmi",,
a) Rezident banklar,-,"-   
                                                               -"
b) Qeyri-rezident banklar,-,"-   
                                                               -"
"6. Bankların və digər maliyyə institutların (3-cü və 5-ci sətirlər istisna edilməklə) depozitləri,","101,574","-   
                                                               -"
cəmi,,
"6.1  Bankların depozitləri, cəmi","37,736","-   
                                                               -"
a) Rezident banklar,"37,736","-   
                                                               -"
b) Qeyri-rezident banklar,-,"-   
                                                               -"
"6.2 Banklar istisna olmaqla, digər maliyyə institutlarının depozitləri, cəmi","63,838","-   
                                                               -"
a) Rezident maliyyə institutları,"63,838","-   
                                                               -"
b) Qeyri-rezident maliyyə institutları,-,"-   
                                                               -"
"7. Bankların kreditləri (7 gündən artıq olan müddətə), cəmi","40,354","-   
                                                               -"
"7.1 Rezident banklar, cəmi","40,354","-   
                                                               -"
a) təminatlı,"40,354","-   
                                                               -"
b) təminatsız,-,"-   
                                                               -"
"7.2 Qeyri-rezident banklar, cəmi",-,"-   
                                                               -"
a) təminatlı,-,"-   
                                                               -"
b) təminatsız,-,"-   
                                                               -"
"8. Banklar istisna olmaqla, digər maliyyə institutlarının kreditləri, cəmi","488,497","-   
                                                               -"
a) Rezident maliyyə institutlarından alınmış,"488,497","-   
                                                               -"
b) Qeyri-rezident maliyyə institutlarından alınmış,-,"-   
                                                               -"
c) Beynəlxalq təşkilatlarından alınmış,-,"-   
                                                               -"
9. Mərkəzi idarəetmə orqanlarının depozitləri və kreditləri,-,"-   
                                                               -"
10. Bələdiyyələrin depozitləri və kreditləri,-,"-   
                                                               -"
11. Bankın öz ehtiyacları üçün aldığı ipoteka kreditləri,-,"-   
                                                               -"
12. Bank tərəfindən buraxılmış qiymətli kağızlar,"329,500","-   
                                                               -"
13. Digər passivlər,-,"-                                                        382,601"
14. Kapital,-,"-                                                        906,376"
14. Cəmi öhdəliklər,"5,199,101","-   
4,171,828"
,Balansdankənar öhdəliklərin ayrı ayrı növləri barədə,
,,(min manatla)
ÖHDƏLİKLƏR,Cəmi,Xarici valyutada (2-ci
,,sütundan)
"1. Kredit alətləri, cəmi","2,052,204","137,879"
a) Kredit öhdəlikləri,-,-
b) İstifadə olunmamış kredit xətləri,"2,051,818","137,879"
"c) Qiymətli kağızlar və xarici valyuta istisna olmaqla, aktivlərin alınması üzrə öhdəliklər",-,-
d) Digər öhdəliklər,387,-
"2. Qarantiyalar və bu qəbildən olan öhdəliklər, cəmi","1,485,743","216,063"
a) Qarantiyalar,"1,485,743","216,063"
b) Bu qəbildən olan digər öhdəliklər,-,-
"3. Akkreditivlər, cəmi","8,111","7,081"
"a) ""Standby"" akkreditivlər",-,-
b) Sənədli akkreditivlər,"8,111","7,081"
"4. Xarici valyuta müqavilələri üzrə təəhhüdlər, cəmi","3,458","3,458"
a) Spot müqavilələri əsasında,"3,458","3,458"
a1) alqı,,
a2) satqı,"3,458","3,458"
5. Törəmə maliyyə alətləri üzrə təəhhüdlər,-,-
a) Forvard və fyuçers müqavilələri əsasında,-,-
a1) alqı,,
a2) satqı,,
b) Svop müqavilələri əsasında,-,-
b1) alqı,,
b2) satqı,,
c) Opsion müqavilələri əsasında,-,-
c1) alqı,,
c2) satqı,,
d) Digər törəmə maliyyə alətləri əsasında,-,-
d1) alqı,,
d2) satqı,,
6. Qiymətli kağızlar alınması/satılması üzrə təəhhüdlər,-,-
a) alqı,,
b) satqı,,
7. Digər maliyyə alətlərinin və ya əmtəələrin alınması/satılması üzrə təəhhüdlər,-,-
a) alqı,,
b) satqı,,
8. Digər balansdankənar öhdəliklər,,
,,(min manatla)
MADDƏLƏR,Cəmi,Xarici valyutada (2-ci
,,sütundan)
1. Alınmış qarantiyalar və bu qəbildən olan maddələr,-,-
a) Qarantiyalar,,
b) Bu qəbildən olan digər maddələr,,
2. İxrac akkreditivləri,,
3. Silinmiş aktivlər,"171,987","14,711"
a) Balansdan silinmiş ümidsiz kreditlərin əsas məbləği,"123,074","6,900"
b) Balansdan silinmiş ümidsiz  kreditlərin faiz borcları,"36,328","7,810"
c) Balansdan silinmiş digər ümidsiz aktivlərin əsas məbləği,"12,585",1
d) Balansdan silinmiş digər ümidsiz aktivlərin faiz borcları,-,-
4. Ayrılmış kredit xətləri və kreditlər üzrə şərti tələblər,-,-
5. Digər şərti tələblər (memorandum hesabları nəzərə alınmır),-,-
