,Ödəniş müddətinin bitməsinə qalan günlər,Ani,1 - 7 gün,8-90 gün,3-6 ay,6 ay- 9 ay,9 ay-1 il,1-2 il,2-5 il,5 ildən çox,Ümumi
1,Aktivlər,"9 51,897","1 ,232,046","5 90,620","5 78,552","6 77,119","5 90,369","1 ,972,865","1 ,474,353","2 ,209,482","10,277,304"
1.1,Nağd pul və ekvivalentləri,"8 10,554",-,-,-,-,-,-,-,"1 ,413,113","2 ,223,667"
1.2,Qiymətli kağızlar,"2 ,550","2 95,995","118,524","8 6,965","2 19,448","1 29,513","4 66,426","2 19,055","1 39,560","1 ,678,037"
1.3,Müştərilərə verilmiş kreditlər (xalis),"1 0,629","4 2,128","397,717","477,012","4 43,896","4 36,631","1 ,505,262","1 ,254,767","5 46,864","5 ,114,906"
1.4,Kredit təşkilarına və digər maliyyə institutlarına verilmiş kreditlər (xalis),-,-,"3 ,780","1 4,575",4 69,5 14,"1 ,177",531,"2 ,550","2 3,596"
1.5,Əks REPO əməliyyatları üzrə,-,"5 77,834","4 3,399",-,-,-,-,-,-,"6 21,233"
1.6,Qısamüddətli maliyyə alətləri,-,"1 10,000",-,-,-,-,-,-,-,"1 10,000"
1.7,Törəmə maliyyə alətləri,-,-,-,-,-,-,-,-,-,-
1.8,Bankın depozitləri,"3 ,403",-,"2 7,200",-,"1 3,306","23,711",-,-,-,"6 7,620"
1.9,"“Nostro"" hesabları","1 24,761",-,-,-,-,-,-,-,-,"1 24,761"
1.9.1,16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyatlar,-,-,-,-,-,-,-,-,"( 589,379)","( 589,379)"
1.9.2,Digər maliyyə aktivlər,-,"206,089",-,-,-,-,-,-,"6 96,773","9 02,862"
2,Öhdəliklər,"6 ,150,458","55,681","5 30,461","5 94,993","4 25,748","6 69,806","1 30,585","144,465","1 ,575,107","10,277,304"
2.1,ARMB və dövlət təşkilatlarının banka qarşı tələbləri,-,-,-,-,-,-,5 40,-,-,540
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,25,"2 3,907","7 3,172","2 0,097","1,265","1 ,842","10,108","7 5,648","4 53,230","6 59,294"
2.3,Müştərilərin depozitləri:,"5,706,537","31,774","457,289","574,896","424,483","567,964","119,937","51,817","3,001","7 ,937,698"
2.3.1,tələbli depozitlər,"5,703,776",-,-,-,-,-,-,-,-,"5 ,703,776"
2.3.2,müddətli depozitlər,"2 ,761","3 1,774","457,289","574,896","4 24,483","5 67,964","1 19,937","5 1,817","3 ,001","2 ,233,922"
2.4,Subordinasiya öhdəlikləri,-,-,-,-,-,"1 00,000",-,"1 7,000","2 12,500","3 29,500"
2.5,Borc qiymətli kağızları,-,-,-,-,-,-,-,-,-,-
2.6,"“Loro"" hesabları","6 1,295",-,-,-,-,-,-,-,-,"6 1,295"
2.7,Digər maliyyə öhdəliklər,"3 82,601",-,-,-,-,-,-,-,-,"3 82,601"
2.8,Kapital,-,-,-,-,-,-,-,-,"9 06,376","9 06,376"
3,"Likvidlik ""qəpi""","( 5,198,561)","1 ,176,365","6 0,159","( 16,441)","2 51,371","( 79,437)","1 ,842,280","1 ,329,888","634,376",-
