Unnamed: 0,Unnamed: 1,Maliyyə aktivləri və öhdəlikləri,Cəmi,AZN,Unnamed: 2,ABŞ Dolları,Avro,Digər,Unnamed: 3
1,Aktivlər,,"10,277,304",,"8,579,515","1,600,822","78,395",,"18,573"
1.1,Nağd və nağd pul ekvivalentləri,,"2,348,428",,"1,948,821","306,266","75,835",,"17,505"
1.2,Qiymətli kağızlar/Əks-Repo,,"2,296,323",,"1,507,561","788,763",0,,0
1.3,Müştərilərə verilmiş kreditlər,,"4,572,358",,"4,158,653","412,698","1,007",,0
1.4,Kredit təşkilatlarına və digər maliyyə institutlarına verilmiş kreditlər/depozitlər,,"91,216",,"44,847","46,370",0,,0
1.5,Törəmə maliyyə alətləri,,0,,0,0,0,,0
1.6,Qısa müddətli maliyyə alətləri,,"110,000",,"110,000",0,0,,0
1.7,Əsas vəsaitlər,,"122,501",,"122,501",0,0,,0
1.8,İnvestisiyalar və maliyyə iştirakı (xalis),,"139,574",,"131,113","8,461",0,,0
1.9,Digər aktivlər,,"596,904",,"556,019","38,265","1,553",,"1,067"
2,Öhdəliklər,,"9,370,929",,"7,763,580","1,510,283","79,256",,"17,809"
2.1,Mərkəzi Bank və dövlət təşkilatlarıın banka qarşı tələbləri,,540,,540,0,0,,0
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,,"720,590",,"613,332","106,243",990,,25
2.3,Müştərilərin depozitləri,,"7,937,698",,"6,680,972","1,163,540","75,600",,"17,585"
2.3.1,a) tələbli depozitlər,,"5,703,776",,"4,953,526","657,064","75,600",,"17,585"
2.3.2,b) müddətli depozitlər,,"2,233,922",,"1,727,446","506,476",0,,0
2.4,Subordinasiya öhdəlikləri,,"229,500",,0,"229,500",0,,0
2.5,Borc qiymətli kağızları,,"100,000",,"100,000",0,0,,0
2.6,Digər öhdəliklər,,"382,601",,"368,736","11,000","2,666",,199
3,Balans kapital,,"906,376",,"906,376",0,0,,0
,Öhdəliklərin və kapitalın cəmisi,,"10,277,304",,"8,669,956","1,510,283","79,256",,"17,809"
,,,,,,,,,faizlə
3,Açıq valyuta mövqeyi əmsalı,,,,,-0.07%,-0.84%,,-0.30%
3.1,Sərbəst dönərli valyutalar üzrə məcmu açıq valyuta mövqeyi (AVM),,-0.86%,,,,,,
3.2,Qapalı valyuta üzrə məcmu AVM,,-0.35%,,,,,,
3.3,Qiymətli metallar üzrə AVM,,0.00%,,,,,,
