Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Yaradılmış adi ehtiyatın,Unnamed: 6,Yaradılmış məqsədli
,,,Cəmi kredit portfelində,,,,Yaradılmış,
,Məbləğ,,,Yaradılmış adi ehtiyat,,kredit portfelində  payı,,ehtiyatın kredit portfelində
,,,xüsusi çəkisi,,,,məqsədli ehtiyat,
,,,,,,(faizlə),,payı (faizlə)
"1. Cəmi kredit portfeli, o cümlədən",,"5,114,906",X,,"31,573",0.62%,"542,548",10.61%
1.1.Standart kreditlər,,"2,818,856",55.11%,,"31,573",0.62%,X,X
1.1.1. Qənaətbəxş kreditlər,,"2,680,399",52.40%,,"26,804",0.52%,X,X
1.1.2. Nəzarət altında olan kreditlər,,"138,457",2.71%,,"4,769",0.09%,X,X
1.2. Qeyri-standart kreditlər,,"1,844,295",36.06%,X,,X,"542,548",10.61%
Qeyri-qənaətbəxş,,"1,723,514",33.70%,X,,X,"427,797",8.36%
Təhlükəli,,"12,058",0.24%,X,,X,"6,029",0.12%
Ümidsiz,,"108,722",2.13%,X,,X,"108,722",2.13%
