,,Cari dövr,Keçən ilin müvafiq dövrü
,,30/9/2024,30/9/2023
1,Faiz gəlirləri:,"615,050","512,385"
1.1,Müştərilərə verilmiş kreditlər,"505,328","390,073"
1.2,"Banklar və digər maliyyə institutlarına verilən kreditlər üzrə faiz 
gəlirləri",764,"5,930"
1.3,"Banklar və digər maliyyə institutlarındakı depozitlər üzrə faiz 
gəlirləri","28,343","24,275"
1.4,Ticarət və investisiya qiymətli kağızları üzrə faiz gəlirləri,"60,823","84,874"
1.5,Digər faiz gəlirləri,"19,793","7,232"
1.6,Faiz borcları üzrə yaradılmış məqsədli ehtiyatlar,"7,303","2,992"
2,Faiz xərcləri:,"158,630","77,979"
2.1,Depozitlər üzrə faizlər,"114,642","55,869"
2.2,"Mərkəzi bank və dövlət fondları qarşısında öhdəliklər üzrə faiz 
xərcləri",0,1
2.3,Cəlb edilmiş kreditlərə və depozitlərə görə ödənilən faizlər,"24,792","13,148"
2.4,Pul bazarı alətlərinə ödənilən faizlər,0,
2.5,Qiymətli kağızlar üzrə faizlər,0,
2.6,Digər faiz xərcləri,"19,196","8,962"
3,Xalis faiz gəliri(zərəri),"449,117","431,415"
4,Qeyri-faiz gəlirləri:,"442,044","331,141"
4.1,Alınan haqq və kommisiya gəliri,"397,245","296,858"
4.2,Xarici valyutadan gəlir/zərər (məzənnə dəyişməsi daxil olmaqla,"37,031","32,116"
4.3,"Qiymətli kağızların satışından və yenidən qiymətləndirilməsindən 
gəlir/zərər","1,258",0
4.4,Digər gəlirlər,"6,511","2,166"
5,Qeyri-faiz xərcləri:,"569,735","446,905"
5.1,Əmək haqqı və digər kompensiya növləri üzrə xərclər,"184,164","156,122"
5.2,Ümumi və inzibati xərclər,"54,964","36,169"
5.3,Amortizasiya xərcləri,"31,239","22,885"
5.4,Digər xərclər,"299,368","231,729"
6,Əməliyyat mənfəəti (zərəri),"321,426","315,651"
7,(Mümkün zərərlər üçün yaradılan məqsədli ehtiyatlar),"101,262","80,288"
8,Mənfəət vergisindən əvvəlki mənfəət(zərər),"220,164","235,363"
9,Mənfəət vergisi,"54,091","53,351"
10,Dövr üzrə xalis mənfəət,"166,073","182,012"
