Unnamed: 0,Unnamed: 1,Cari hesabat dövrü,"Əvvəlki hesabatdövrü"
,,31/12/2024,31/12/2023
1,Əməliyyat fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti,,
1.1,Alınmış faizlər,"835,297","721,934"
1.2,Ödənilmiş faizlər,"-198,522","-111,767"
1.3,Alınmış haqq və kommisiyalar,"562,659","424,391"
1.4,Ödənilmiş haqq və kommisiyalar,"-312,777","-231,540"
1.5,Xarici valyuta əməliyyatlarından xalis gəlir,"51,744","50,409"
1.6,Ödənilmiş ümumi və inzibati xərclər,"-248,012","-212,266"
1.7,Alınmış digər əməliyyat gəlirləri,"8,813","4,029"
1.8,Ödənilmiş digər əməliyyat xərcləri,"-213,899","-168,494"
1.9,Ümidsiz borclardan daxilolmalar,0,0
1.1,Alınmış digər əməliyyat gəlirləri,0,0
1.11,Ödənilmiş digər əməliyyat xərcləri,0,0
2,"Əməliyyat aktivlərində və öhdəliklərində dəyişikliklərdən əvvəl bank fəaliyyəti üzrə pul vəsaitlərininhərəkəti",,
2.1,Əməliyyat aktivlərindən xalis artım/azalma,"-1,259,273","-2,047,513"
2.1.1,Banklara və maliyyə institutlarına verilmiş kreditlərdə  və depozitlərdə xalis artım (azalma),"-62,278","169,467"
2.1.2,Müştərilərə verilmiş kreditlərdə xalis artım (azalma),"-962,130","-1,112,449"
2.1.3,Digər aktivlərdə xalis artım (azalma),"-234,865","-1,104,531"
2.2,Əməliyyat öhdəliklərindən xalis artım/azalma,"2,587,448","298,194"
2.2.1,Banklardan və digər maliyyə təşkilatlarından cəlb olunan depozitlər üzrə xalis artım (azalma),"-437,611","113,996"
2.2.2,Mərkəzi Bank üzrə öhdəliklırdə xalis artım (azalma),-540,-540
2.2.3,Müştərilərin depozitləri və cari hesablarında xalis artım (azalma),"2,657,549","221,465"
2.2.4,Digər öhdəliklərdəxalis artım (azalma),"368,050","-36,727"
3,Mənfəət vergisindən əvvəl bank fəaliyyəti üzrə pul vəsaitlərinin hərəkəti,"1,813,478","-1,272,623"
3.1,Ödənilmiş mənfəət vergisi,"-54,441","-106,063"
4,Əməliyyat fəaliyyəti ilə əlaqədar generasiya/istifadə edilən xalis pul vəsaitləri,"1,759,037","-1,378,686"
5,İnvestisiya fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti,,
5.1,Əmlak və avadanlıqların alınması və avans ödənişləri,"-53,359","-34,152"
5.2,Əmlak və avadanlıqların satılmasından daxilolmalar,0,446
5.3,Qeyri-maddi aktivlərin alınması,"-8,111","-15,817"
5.4,Qeyri-maddi aktivlərin satılmasından daxilolmalar,0,0
5.5,Alınmış dividendlər,0,0
5.6,Satış üçün nəzərdə tutulan investisiya qiymətli kağızlarının satılması və geri alınması,"-1,377,849","1,241,225"
5.7,Digər,"-73,950","-31,732"
6,İnvestisiya fəaliyyəti ilə əlaqədar generasiya/istifadə olunan pul vəsaitlərinin hərəkəti,"-1,513,269","1,159,970"
7,Maliyyələşdirmə fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti,,
7.1,Digər borc öhdəliklərinin əldə olunması,0,0
7.2,Digər borc öhdəliklərinin ödənilməsi,0,0
7.3,Subordinasiya borclarının əldə olunması,0,0
7.4,Səhmdar kapitalının buraxılmasından daxilolmalar,0,0
7.5,Ödənilmiş dividentlər,"-158,502","-153,990"
7.6,Digər maliyyə öhdəliklərinin cəlb edilməsi (ödənilməsi),0,0
8,Maliyyələşdirmə fəaliyyəti ilə əlaqədar yaradılan/istifadə olunan pul vəsaitləri,"-158,502","-153,990"
9,Dövrün əvvəlinə pul vəsaitləri və pul vəsaitlərinin ekvivalentləri,"1,189,615","1,559,169"
10,Pul vəsaitləri və pul vəsaitlərinin ekvivalentlərində xalis artma/(azalma),"65,302","-369,554"
11,Məzənnə dəyişikliyinin pul vəsaitləri və pul vəsaitlərinin ekvivalentlərinə təsiri,-899,"3,152"
12,Dövrün sonuna pul vəsaitləri və pul vəsaitlərinin ekvivalentləri,"1,254,917","1,189,615"
