B. Öhdəliklər və kapital,,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,,,,,,,,,,,,,,,O cumlədən,,
,,ani,1-7,8-14,15-30,31-60,61-90,91-120,121-150,151-180,181-210,211-240,241-270,271-300,301-330,331-365 (366),1-2 il,2-3 il,3-5 il,5 ildən artıq,Cəmi,sabit faizlə,dəyişkən faizlə,faizsiz
"1. Depozitlər (banklar və digər maliyyə müəssisələri istisna 
olmaqla), cəmi",B1,"6,508,604.98",0.00,"74,072.84","115,123.91","223,023.97","307,760.23","201,819.43","125,667.81","292,403.84","348,446.03","104,551.51","84,534.73","48,029.68","88,642.16","248,749.17","158,274.74","45,348.36","3,280.36",0.49,"8,978,334.24","4,852,170.25",0.00,"4,126,163.99"
a) fiziki şəxslərin tələbli depozitlər,B1a,"1,369,440.49",,,,,,,,,,,,,,,,,,,"1,369,440.49",,,"1,369,440.49"
"b) hüquqi şəxslərin tələbli depozitləri (bütün cari (qeyri-bank 
maliyyə institutlarının cari hesabları da daxil olmaqla) və çek 
hesabları  daxil olmaqla)",B1b,"5,139,130.35",,,,,,,,,,,,,,,,,,,"5,139,130.35","2,382,406.85",,"2,756,723.50"
c) qaytarılma vaxtı bitməmiş fiziki şəxslərin müddətli depozitlər,B1c,34.14,0.00,"24,072.84","62,723.91","153,023.97","101,910.23","91,219.43","80,034.31","130,003.84","60,513.87","54,551.51","81,134.73","36,787.60","38,642.16","109,399.17","155,069.74","45,348.36",280.36,0.00,"1,224,750.17","1,224,750.17",,
d) qaytarılma vaxtı bitməmiş hüquqi şəxslərin müddətli depozitlər,B1d,0.00,0.00,"50,000.00","52,400.00","70,000.00","205,850.00","110,600.00","45,633.50","162,400.00","287,932.16","50,000.00","3,400.00","11,242.08","50,000.00","139,350.00","3,205.00",0.00,"3,000.00",0.49,"1,245,013.23","1,245,013.23",,
2. AMB-nın kreditləri,B2,,,,,,,,,,,,,,,,,,,,-,-,-,
"3. “Loro"" hesabları (bankların müxbir hesabları)",B3,"10,927",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,"-                      10,927",-,,"-                      10,927"
4. REPO əməliyyatları üzrə,B4,,-                               -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5. Banklararası bazarın qazanılmış qısamüddətli maliyyə alətləri (7-
ci gün də daxil olmaqla 7 günədək  olanlar)",B5,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
6. Bankların və digər maliyyə institutların depozitləri,B6,0,215,,"-                      17,000","11,900","11,600",116,-,-,-,134,-,-,-,836,"1,352",,"-                      53,299","1,542","97,994","97,994",-,-
7. Banklardan alınmış kreditlər (7 gündən artıq müddətli olanlar),B7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"8. Beynəlxalq təşkilatlar daxil olmaqla, digər maliyyə 
institutlarından alınmış kreditlər",B8,-,-,-,,-                             50,"2,250",11,627,75,86,909,402,336,197,"1,173","14,068","7,384","11,922","450,556","490,045","490,045",,
9. Mərkəzi  idarəetmə orqanlarının kreditləri və depozitləri,B9,,,,,,,,,,,,,,,,,,,,-,-,,
10. Bələdiyyələrin kreditləri və depozitləri,B10,,,,,,,,,,,,,,,,,,,,-,-,-,-
11. Öz ehtiyatları üçün bank tərəfindən alınmış ipoteka kreditləri,B11,,,,,,,,,,,,,,,,,,,,-,-,-,-
"12. Ödəmə müddətli imtiyazlı səhmlər daxil olmaqla, bank 
tərəfindən buraxılmış subordinasiyalı borc və sair bu qəbildən olan 
borc öhdəlikləri",B12,-,-,-,-,-,-,-,,"-                    100,000",-,-,-,-,-,-,,"-                      17,000",,"-                    246,500","363,500","363,500",-,-
13. Digər passivlər,B13,"503,526",,,,,,,,,,,,,,,,,,,"503,526",-,,"-                    503,526"
14. Kapital,B14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,"-                    927,943","927,943",-,,"-                    927,943"
15. Cəmi passivlər (öhdəliklər üstəgəl kapital),B15,"7,023,058",215,"74,073","132,124","234,974","321,610","201,947","126,294","392,478","348,532","105,594","84,937","48,366","88,839","250,758","173,694","69,733","68,501","1,626,541","11,372,270","5,803,709",,"-                4,640,617"
"16.  Hər bir dövr üçün maliyyə aktivlərinin (passivlərinin) xalis 
məbləği",B16,"(5,775,644)","253,059","264,967","480,267","(27,961)","(82,956)","(23,646)","82,587","(67,973)","(151,897)","82,709","102,729","106,394","83,664","142,051","2,501,976","894,581","536,370","598,721",,"-                2,487,559",,"-              (1,320,613)"
