,,,,,,,,,,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,,,,,O cumlədən,,
A.    Aktivlər,,,,,,,,,,,,,,,,,,,,,,
,,ani,1-7,8-14,15-30,31-60,61-90,91-120,121-150,"151-180  
 181-210  
 211-240","241-270  
 271-300",301-330,331-365 (366),1-2 il,2-3 il,3-5 il,5 ildən artıq,Cəmi,sabit faizlə,dəyişkən faizlə,,faizsiz
"1. Nağd vəsaitlər (seyflərdə, bankomatlarda, valyuta mübadiləsi",,,,,,,,,,,,,,,,,,,,,,
,A1,"988,470",-,-,-,-,-,-,-,"-   
                           -   
                           -","-   
                           -",-,-,-,-,-,"-                    988,470",,,,"-                    988,470",
"şöbələrində, yolda)",,,,,,,,,,,,,,,,,,,,,,
2. AMB-na olan tələblər (məcburi ehtiyat fondu və ya müxbir,,,,,,,,,,,,,,,,,,,,,,
,A2,"125,949",,,,,,,,,,,,,,,"1,479,034","1,604,983",,,"-                1,604,983",
hesabları),,,,,,,,,,,,,,,,,,,,,,
"3. “Nostro"" hesabları",A3,"123,256",-,-,-,-,-,-,-,"-   
                           -   
                           -","-   
                           -",-,-,-,-,-,"-                    123,256",,,,"-                    123,256",
4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də,,,,,,,,,,,,,,,,,,,532,,,
,A4,,532,-,-,-,-,-,-,"-   
                           -   
                           -","-   
                           -",-,-,-,-,-,-,532,,-,,-
daxil olmaqla 7 günədək olanlar),,,,,,,,,,,,,,,,,,,,,,
"5. Banklar daxil da olmaqla, maliyyə institutlarına depozitlər, cəmi",A5,"3,404",-,-,,"-                        3,106","10,200","-                      12,303",,"-                      11,407 
                           -","-   
                           -",-,-,-,-,-,"-                      40,421",,"40,421",-,,-
6. Əks REPO əməliyyatları üzrə,A6,-,,"-                    140,603","19,272",-,-,-,-,"-   
                           -   
                           -","-   
                           -",-,-,-,-,-,"-                    159,875",,"159,875",-,,-
7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla  qiymətli,,,,,,,,,,,,,,,,,,,"2,724,960",,,
,A7,110,,"-                    175,140","534,125","54,156","40,497","31,292","37,648","143,027 
                  23,237 
                  47,228 
                  16,046","20,767","41,173","218,618","1,071,473","242,965","27,457","-                2,724,960",,,-,,-
kağızlara investisiyalar,,,,,,,,,,,,,,,,,,,,,,
8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarət üçün,,,,,,,,,,,,,,,,,,,"226,018",,,
,A8,-,-,-,-,-,-,-,-,"-   
                           -   
                           -                      42,027",-,-,,"-                      43,543",-,"-                    140,449",,"226,018",,-,,-
qiymətli kağızlar,,,,,,,,,,,,,,,,,,,,,,
9. 4-cü sətir üzrə banklararası bazarın qısamüddətli maliyyə alətləri,,,,,,,,,,,,,,,,,,,"16,150",,,
,A9,-,-,-,,"-                        1,700",-,-,-,"-   
                           -   
                           -","-   
                           -",,"-                        3,400",-,-,"-                      11,050",,"16,150",,-,,-
"istisna olmaqla, banklara kreditlər",,,,,,,,,,,,,,,,,,,,,,
"10. 4-cü sətir üzrə qısamüddətli maliyyə alətləri istisna olmaqla,",,,,,,,,,,,,,,,,,,,"8,406",,,
,A10,-,-,-,,"-                        4,081",37,-,423,"22 
                       500 
                       180 
                       100",330,-,300,"1,928",504,-,"-                        8,406",,,-,,-
digər maliyyə institutlarına kreditlər,,,,,,,,,,,,,,,,,,,,,,
11. Müştərilərə verilən kreditlər,A11,"6,225","46,654","23,296","58,994","143,969","187,919","147,009","158,507","181,457 
                161,492 
                140,896 
                129,493","133,663","131,330","170,491","1,558,727","720,844","577,415","532,827","5,211,208","5,114,906",-,,-
12. Amortizasiya çıxılmaqla əsas vəsaitlər (bank işində istifadə,,,,,,,,,,,,,,,,,,,,,,
,A12,-,-,-,-,-,-,-,-,"-   
                           -   
                           -","-   
                           -",-,-,-,-,"-                      92,038",,"92,038",,-,,-
olunmayan əsas vəsaitlər daxil olmaqla),,,,,,,,,,,,,,,,,,,,,,
13. İcmallaşmamış şirkətlərdə investisiyalar və maliyyə iştirakı,A13,-,-,-,-,-,-,-,-,"-   
                           -   
                           -","-   
                           -",-,-,-,-,"-                    148,504",,"148,504",,-,,-
14. Qeyri-maddi aktivlər,A14,-,-,-,-,-,-,-,-,"-   
                           -   
                           -","-   
                           -",-,-,-,-,"-                      35,702",,"35,702",,-,,-
15. Digər aktivlər,A15,,"206,089",,,,,,,,,,,,,,"397,206","603,295",,,"-                    603,295",
16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli,,,,,,,,,,,,,,,,,,,,,,
,A16,-,-,-,-,-,-,-,-,"-   
                           -   
                           -","-   
                           -",-,-,-,-,"-                    611,547",,"611,547",,-,,-
ehtiyatlar,,,,,,,,,,,,,,,,,,,,,,
17. Cəmi aktivlər,A17,"1,247,415","253,274","339,040","612,391","207,013","238,654","178,301","208,881","324,505 
                196,635 
                188,304 
                187,666","154,760","172,503","392,809","2,675,671","964,313","604,872","2,225,262","11,372,269.51","8,291,268",,0,"3,320,004"
