,,,,,,,,,,,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,,,,,,,O cumlədən,
B. Öhdəliklər və kapital,,,,,,,,,,,,,,,,,,,,,,,,
,,ani,1-7,8-14,15-30,31-60,61-90,91-120,121-150,151-180,181-210,211-240,241-270,271-300,301-330,331-365 (366),1-2 il,2-3 il,3-5 il,5 ildən artıq,Cəmi,sabit faizlə,dəyişkən faizlə,faizsiz
1. Depozitlər (banklar və digər maliyyə müəssisələri istisna,,,,,,,,,,,,,,,,,,,,,,,,
,B1,"6,508,604.98",0.00,"74,072.84","115,123.91","223,023.97","307,760.23","201,819.43","125,667.81","292,403.84","348,446.03","104,551.51","84,534.73","48,029.68","88,642.16","248,749.17","158,274.74","45,348.36","3,280.36",0.49,"8,978,334.24","4,852,170.25",0.00,"4,126,163.99"
"olmaqla), cəmi",,,,,,,,,,,,,,,,,,,,,,,,
a) fiziki şəxslərin tələbli depozitlər,B1a,"1,369,440.49",,,,,,,,,,,,,,,,,,,"1,369,440.49",,,"1,369,440.49"
b) hüquqi şəxslərin tələbli depozitləri (bütün cari (qeyri-bank,,,,,,,,,,,,,,,,,,,,,,,,
maliyyə institutlarının cari hesabları da daxil olmaqla) və çek,B1b,"5,139,130.35",,,,,,,,,,,,,,,,,,,"5,139,130.35","2,382,406.85",,"2,756,723.50"
hesabları  daxil olmaqla),,,,,,,,,,,,,,,,,,,,,,,,
c) qaytarılma vaxtı bitməmiş fiziki şəxslərin müddətli depozitlər,B1c,34.14,0.00,"24,072.84","62,723.91","153,023.97","101,910.23","91,219.43","80,034.31","130,003.84","60,513.87","54,551.51","81,134.73","36,787.60","38,642.16","109,399.17","155,069.74","45,348.36",280.36,0.00,"1,224,750.17","1,224,750.17",,
d) qaytarılma vaxtı bitməmiş hüquqi şəxslərin müddətli depozitlər,B1d,0.00,0.00,"50,000.00","52,400.00","70,000.00","205,850.00","110,600.00","45,633.50","162,400.00","287,932.16","50,000.00","3,400.00","11,242.08","50,000.00","139,350.00","3,205.00",0.00,"3,000.00",0.49,"1,245,013.23","1,245,013.23",,
2. AMB-nın kreditləri,B2,,,,,,,,,,,,,,,,,,,,-,-,-,
