MADDƏLƏR,Cəmi,"Xarici valyutada (2-ci 
sütundan)"
1. Alınmış qarantiyalar və bu qəbildən olan maddələr,-,-
a) Qarantiyalar,,
b) Bu qəbildən olan digər maddələr,,
2. İxrac akkreditivləri,,
3. Silinmiş aktivlər,"179,393","14,866"
,"a) Balansdan silinmiş ümidsiz kreditlərin əsas məbləği                                                                                                                                                            133,257","6,979"
,"b) Balansdan silinmiş ümidsiz  kreditlərin faiz borcları                                                                                                                                                               33,787","7,886"
c) Balansdan silinmiş digər ümidsiz aktivlərin əsas məbləği,"12,349",1
"d) Balansdan silinmiş digər ümidsiz aktivlərin faiz 
borcları",-,-
4. Ayrılmış kredit xətləri və kreditlər üzrə şərti tələblər,-,-
,5. Digər şərti tələblər (memorandum hesabları nəzərə alınmır)                                                                                                                                                                        -,-
