,Balansdankənar öhdəliklərin ayrı ayrı növləri barədə,
,,(min manatla)
ÖHDƏLİKLƏR,Cəmi,Xarici valyutada (2-ci
,,sütundan)
"1. Kredit alətləri, cəmi","2,445,559","103,110"
a) Kredit öhdəlikləri,-,-
b) İstifadə olunmamış kredit xətləri,"2,444,831","103,110"
c) Qiymətli kağızlar və xarici valyuta istisna,-,-
"olmaqla, aktivlərin alınması üzrə öhdəliklər",,
d) Digər öhdəliklər,727,-
"2. Qarantiyalar və bu qəbildən olan öhdəliklər, cəmi","1,668,451","220,522"
a) Qarantiyalar,"1,668,451","220,522"
b) Bu qəbildən olan digər öhdəliklər,-,-
"3. Akkreditivlər, cəmi","9,880","8,892"
"a) ""Standby"" akkreditivlər",-,-
b) Sənədli akkreditivlər,"9,880","8,892"
"4. Xarici valyuta müqavilələri üzrə təəhhüdlər, cəmi","17,000","17,000"
a) Spot müqavilələri əsasında,"17,000","17,000"
a1) alqı,,
a2) satqı,"17,000","17,000"
5. Törəmə maliyyə alətləri üzrə təəhhüdlər,-,-
a) Forvard və fyuçers müqavilələri əsasında,-,-
a1) alqı,,
