Valyuta riski,,,,,,
min manatla,,,,,,
,Maliyyə aktivləri və öhdəlikləri,Cəmi,AZN,ABŞ Dolları,Avro,Digər
1,Aktivlər,"1 1,372,270","9,170,609","2,088,443","9 4,789","18,429"
1.1,Nağd və nağd pul ekvivalentləri,"2,716,708","2,144,965","467,757","86,230","17,756"
1.2,Qiymətli kağızlar,"3,110,743","1,948,120","1,162,624",-,-
1.3,Müştərilərə verilmiş kreditlər,"4,620,255","4,242,075","372,425","5,755",-
1.4,Kredit təşkilatlarına və digər maliyyə institutlarına verilmiş kreditlər,"64,976","18,606","46,371",-,-
1.5,Törəmə maliyyə alətləri,-,-,-,-,-
1.6,Qısa müddətli maliyyə alətləri,532,-,-,532,-
1.7,Əsas vəsaitlər,"1 27,739","127,739",-,-,-
1.8,İnvestisiyalar və maliyyə iştirakı (xalis),"1 48,504","140,043","8,461",-,-
1.9,Digər aktivlər,"5 82,811","549,061","30,806","2,272",672
2,Öhdəliklər,"1 0,444,326","8,273,802","2,056,171","9 5,778","18,574"
2.1,Mərkəzi Bank və dövlət təşkilatlarıın banka qarşı tələbləri,-,-,-,-,-
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,"5 98,966","545,182","52,004","1,758",23
2.3,Müştərilərin depozitləri,"8,978,234","7,170,426","1,695,921","9 3,344","18,543"
2.3.1,a) tələbli depozitlər,"6,508,570","5,325,763","1,071,325","92,940","18,543"
2.3.2,b) müddətli depozitlər,"2,469,663","1,844,663","624,596",404,-
2.4,Subordinasiya öhdəlikləri,"2 63,500",-,"263,500",-,-
2.5,Borc qiymətli kağızları,"1 00,000","100,000",-,-,-
2.6,Digər öhdəliklər,"5 03,626","458,194","44,747",677,8
3,Balans kapital,"9 27,943","927,943",-,-,-
,Öhdəliklərin və kapitalın cəmisi,"1 1,372,270","9,201,746","2,056,171","95,778","18,574"
faizlə,,,,,,
3,Açıq valyuta mövqeyi əmsalı,,,-4.49%,-0.90%,-0.02%
3.1,Sərbəst dönərli valyutalar üzrə məcmu açıq valyuta mövqeyi (AVM),-5.46%,,,,
3.2,Qapalı valyuta üzrə məcmu AVM,0.02%,,,,
3.3,Qiymətli metallar üzrə AVM,0.00%,,,,
3.4,Məcmu AVM,-5.69%,,-4.49%,-0.90%,-0.02%
