Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Likvidlik riski,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,,min manatla
,,Ödəniş müddətinin bitməsinə qalan günlər,Ani,1 - 7 gün,8-30 gün,3-6 ay,6 ay- 9 ay,9 ay-1 il,1-2 il,,2-5 il,5 ildən çox,Ümumi
1,Aktivlər,,"1,247,415","2 53,274","1,397,097","711,688","5 72,605","7 20,073",,"2,675,671","1,569,185","2 ,225,262","11,372,270"
1.1,Nağd pul və ekvivalentləri,,"1,114,419",-,-,-,-,-,,-,-,"1 ,479,034","2 ,593,453"
1.2,Qiymətli kağızlar,,110,-,"8 03,919","211,967","1 28,537","2 80,559",,"1,115,016","2 70,422","1 40,449","2 ,950,978"
1.3,Müştərilərə verilmiş kreditlər (xalis),,"6 ,225","46,654","4 14,179","486,973","4 31,881","4 35,484",,"1,558,727","1,298,259","5 32,827","5 ,211,208"
1.4,Kredit təşkilarına və digər maliyyə institutlarına verilmiş kreditlər (xalis),,-,-,"5 ,818",4 45,780,"4 ,030",,"1 ,928",504,"1 1,050","2 4,556"
,Əks REPO əməliyyatları üzrə,,-,-,"1 59,875",-,-,-,,-,-,-,"159,875"
1.5,Qısamüddətli maliyyə alətləri,,,532,-,-,-,-,,-,-,-,5 32
1.6,Törəmə maliyyə alətləri,,-,-,-,-,-,-,,-,-,-,-
1.7,Bankın depozitləri,,"3 ,404",-,"13,306","1 2,303","11,407",-,,-,-,-,"4 0,421"
1.8,"“Nostro"" hesabları",,"1 23,256",-,-,-,-,-,,-,-,-,"123,256"
,16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyatlar,,-,-,-,-,-,-,,-,-,"(611,547)","( 611,547)"
2,Digər maliyyə aktivlər,,-,"2 06,089",-,-,-,-,,-,-,"6 73,450","879,539"
2.1,Öhdəliklər,,"7,023,058",215,"7 62,781","620,720","5 39,063","4 87,963",,"1 73,694","1 38,234","1 ,626,541","11,372,270"
2.2,ARMB və dövlət təşkilatlarının banka qarşı tələbləri,,-,-,-,-,-,-,,-,-,-,-
2.3,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,,0,215,"42,800",829,"1,531","2,542",,"15,419","72,605","452,097","588,039"
2.3.1,Müştərilərin depozitləri:,,"6,508,605",-,"7 19,981","619,891","5 37,532","3 85,421",,"1 58,275","48,629",0,"8 ,978,334"
2.3.2,tələbli depozitlər,,"6,508,571",-,-,-,-,-,,-,-,-,"6 ,508,571"
2.4,müddətli depozitlər,,3 4,-,"7 19,981","619,891","5 37,532","3 85,421",,"1 58,275","48,629",0,"2 ,469,763"
2.5,Subordinasiya öhdəlikləri,,-,-,-,-,-,-,,-,"17,000","2 46,500","263,500"
2.6,Borc qiymətli kağızları,,-,-,-,-,-,"1 00,000",,-,-,-,"100,000"
3,"“Loro"" hesabları",,"10,927",-,-,-,-,-,,-,-,-,"1 0,927"
,Digər maliyyə öhdəliklər,,"5 03,526",-,-,-,-,-,,-,-,-,"503,526"
,Kapital,,-,-,-,-,-,-,,-,-,"9 27,943","927,943"
,"Likvidlik ""qəpi""",,"( 5,775,644)","2 53,059","6 34,316","9 0,968","33,542","2 32,110",,"2,501,976","1,430,951","5 98,721",-
