Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Yaradılmış adi,Unnamed: 5,Yaradılmış məqsədli
,,,Cəmi kredit,,,,
,,,,,ehtiyatın kredit,Yaradılmış məqsədli,ehtiyatın kredit
,Məbləğ,,portfelində xüsusi,Yaradılmış adi ehtiyat,,,
,,,,,portfelində  payı,ehtiyat,portfelində payı
,,,çəkisi,,,,
,,,,,(faizlə),,(faizlə)
"1. Cəmi kredit portfeli, o cümlədən",,"5,211,208",X,"31,889",0.61%,"590,952",11.34%
1.1.Standart kreditlər,,"2,790,455",53.55%,"31,889",0.61%,X,X
1.1.1. Qənaətbəxş kreditlər,,"2,678,229",51.39%,"26,782",0.51%,X,X
1.1.2. Nəzarət altında olan kreditlər,,"112,226",2.15%,"5,107",0.10%,X,X
1.2. Qeyri-standart kreditlər,,"1,992,044",38.23%,X,X,"590,952",11.34%
Qeyri-qənaətbəxş,,"1,854,357",35.58%,X,X,"463,589",8.90%
Təhlükəli,,"10,246",0.20%,X,X,"5,123",0.10%
Ümidsiz,,"127,442",2.45%,X,X,"127,442",2.45%
