,Pul vəsaitlərinin hərəkəti haqqında hesabat,,,
,,,,min manatla
,,Cari hesabat dövrü,Əvvəlki hesabat dövrü,
,,31/3/2025,31/3/2024,
1,Əməliyyat fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti,,,
1.1,Alınmış faizlər,"195,525",,"138,602"
1.2,Ödənilmiş faizlər,"-52,192",,"-27,487"
1.3,Alınmış haqq və kommisiyalar,"128,137",,"80,388"
1.4,Ödənilmiş haqq və kommisiyalar,"-84,835",,"-44,596"
1.5,Xarici valyuta əməliyyatlarından xalis gəlir,"10,900",,"6,815"
1.6,Ödənilmiş ümumi və inzibati xərclər,"-86,542",,0
1.7,Alınmış digər əməliyyat gəlirləri,"2,192",,0
1.8,Ödənilmiş digər əməliyyat xərcləri,"-12,088",,"-68,598"
1.9,Ümidsiz borclardan daxilolmalar,0,,0
1.1,Alınmış digər əməliyyat gəlirləri,0,,"1,723"
1.11 Ödənilmiş digər əməliyyat xərcləri,,0,,"9,106"
2,Əməliyyat aktivlərində və öhdəliklərində dəyişikliklərdən əvvəl bank fəaliyyəti üzrə pul vəsaitlərinin hərəkəti,,,
2.1,Əməliyyat aktivlərindən xalis artım/azalma,"-161,480",,"164,682"
2.1.1 Banklara və maliyyə institutlarına verilmiş kreditlərdə  və depozitlərdə xalis artım (azalma),,"149,667",,"-45,986"
2.1.2 Müştərilərə verilmiş kreditlərdə xalis artım (azalma),,"-129,081",,"-37,624"
2.1.3 Digər aktivlərdə xalis artım (azalma),,"-182,066",,"248,292"
2.2,Əməliyyat öhdəliklərindən xalis artım/azalma,"895,480",,"504,811"
2.2.1 Banklardan və digər maliyyə təşkilatlarından cəlb olunan depozitlər üzrə xalis artım (azalma),,"1,005,877",,"84,379"
2.2.2 Mərkəzi Bank üzrə öhdəliklırdə xalis artım (azalma),,491,,0
2.2.3 Müştərilərin depozitləri və cari hesablarında xalis artım (azalma),,"19,715",,"475,548"
2.2.4 Digər öhdəliklərdəxalis artım (azalma),,"-130,603",,"-55,116"
3,Mənfəət vergisindən əvvəl bank fəaliyyəti üzrə pul vəsaitlərinin hərəkəti,"835,097",,"765,446"
3.1,Ödənilmiş mənfəət vergisi,"-40,996",,0
4,Əməliyyat fəaliyyəti ilə əlaqədar generasiya/istifadə edilən xalis pul vəsaitləri,"794,101",,"765,446"
5,İnvestisiya fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti,,,
5.1,Əmlak və avadanlıqların alınması və avans ödənişləri,"-60,441",,"-8,242"
5.2,Əmlak və avadanlıqların satılmasından daxilolmalar,0,,0
5.3,Qeyri-maddi aktivlərin alınması,"-5,787",,"-1,062"
5.4,Qeyri-maddi aktivlərin satılmasından daxilolmalar,0,,0
5.5,Alınmış dividendlər,0,,0
5.6,Satış üçün nəzərdə tutulan investisiya qiymətli kağızlarının satılması və geri alınması,"-109,156",,"-278,336"
5.7,Digər,"-10,500",,"-20,205"
6,İnvestisiya fəaliyyəti ilə əlaqədar generasiya/istifadə olunan pul vəsaitlərinin hərəkəti,"-185,884",,"-307,845"
7,Maliyyələşdirmə fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti,,,
7.1,Digər borc öhdəliklərinin əldə olunması,0,,0
7.2,Digər borc öhdəliklərinin ödənilməsi,0,,0
7.3,Subordinasiya borclarının əldə olunması,0,,0
7.4,Səhmdar kapitalının buraxılmasından daxilolmalar,0,,0
7.5,Ödənilmiş dividentlər,0,,0
7.6,Digər maliyyə öhdəliklərinin cəlb edilməsi (ödənilməsi),0,,0
8,Maliyyələşdirmə fəaliyyəti ilə əlaqədar yaradılan/istifadə olunan pul vəsaitləri,0,,0
9,Dövrün əvvəlinə pul vəsaitləri və pul vəsaitlərinin ekvivalentləri,"1,254,917",,"1,189,615"
10,Pul vəsaitləri və pul vəsaitlərinin ekvivalentlərində xalis artma/(azalma),"612,782",,"288,571"
11,Məzənnə dəyişikliyinin pul vəsaitləri və pul vəsaitlərinin ekvivalentlərinə təsiri,"4,565",,-616
12,Dövrün sonuna pul vəsaitləri və pul vəsaitlərinin ekvivalentləri,"1,867,699",,"1,478,186"
