"","","","","","","","","","","Ödəniş müddətinin başlanmasına qalmış günlər (illər)","","","","","","","","","","","O cumlədən"
"B. Öhdəliklər və kapital","","","","","","","","","","","","","","","","","","","","",""
"","ani","1-7","8-14","15-30","31-60","61-90","91-120","121-150","151-180","181-210","211-240","241-270","271-300","301-330","331-365 (366)","1-2 il","2-3 il","3-5 il","5 ildən artıq 
 Cəmi","sabit faizlə","dəyişkən faizlə 
 faizsiz"
"1. Depozitlər (banklar və digər maliyyə müəssisələri istisna olmaqla),","","","","","","","","","","","","","","","","","","","","",""
"","6,608,962.74","9,745.41","146,567.98","125,944.16","240,826.60","249,482.11","411,518.17","182,888.51","171,801.14","80,649.58","94,542.00","84,403.64","190,890.49","79,328.91","97,614.71","181,988.77","43,726.92","3,000.50","0.00
9,003,882.34","4,734,620.22","0.00
4,269,262.12"
"cəmi","","","","","","","","","","","","","","","","","","","","",""
"a) fiziki şəxslərin tələbli depozitlər","1,840,160.20","","","","","","","","","","","","","","","","","","1,840,160.20","","1,840,160.20"
"b) hüquqi şəxslərin tələbli depozitləri (bütün cari (qeyri-bank maliyyə","","","","","","","","","","","","","","","","","","","","",""
"institutlarının cari hesabları da daxil olmaqla) və çek hesabları  daxil","4,707,159.07","","","","","","","","","","","","","","","","","","4,707,159.07","2,278,057.15","2,429,101.92"
"olmaqla)","","","","","","","","","","","","","","","","","","","","",""
"c) qaytarılma vaxtı bitməmiş fiziki şəxslərin müddətli depozitlər","7,643.47","6,745.41","28,567.98","65,944.16","93,726.60","124,248.61","121,236.01","132,888.51","113,934.39","58,249.58","33,299.92","69,403.64","66,540.49","76,978.91","87,745.08","181,883.77","43,726.92","0.00","0.00
1,312,763.45","1,312,763.45",""
"d) qaytarılma vaxtı bitməmiş hüquqi şəxslərin müddətli depozitlər","54,000.00","3,000.00","118,000.00","60,000.00","147,100.00","125,233.50","290,282.16","50,000.00","57,866.75","22,400.00","61,242.08","15,000.00","124,350.00","2,350.00","9,869.63","105.00","0.00","3,000.50","0.00
1,143,799.62","1,143,799.62",""
"2. AMB-nın kreditləri","","","","","","","","","","","","","","","","","","","491 
                        491","491","-"
"3. “Loro"" hesabları (bankların müxbir hesabları)","11,043","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-                      11,043","-","-                      11,043"
