Faiz riski,,min manatla
1,Faiz dərəcəsinə görə cəmi aktivlər,"8,543,423"
1.1,0-3 ay,"1,682,161"
1.2,3-6 ay,"690,762"
1.3,6-12 ay,"1,174,083"
1.4,12-24 ay,"2,787,259"
1.5,24-36 ay,"945,836"
1.6,36 aydan yuxarı,"1,263,323"
2,Faiz dərəcəsinə həssas cəmi öhdəliklər,"6,694,580"
2.1,0-3 ay,"4,159,868"
2.2,3-6 ay,"817,529"
2.3,6-12 ay,"632,056"
2.4,12-24 ay,"196,399"
2.5,24-36 ay,"70,072"
2.6,36 aydan yuxarı,"818,657"
3,“Qəp”,"1,848,843"
3.1,0-3 ay,"(2,477,707)"
3.2,3-6 ay,"(126,767)"
3.3,6-12 ay,"542,026"
3.4,12-24 ay,"2,590,860"
3.5,24-36 ay,"875,764"
3.6,36 aydan yuxarı,"444,666"
