Öhdəliklərin maddələri,(Hesabat ili qeyd edilsin),,
,sabit faizlə,dəyişkən faizlə,faizsiz
"1. Depozitlər (banklar və digər maliyyə institutları istisna olmaqla), cəmi","4,734,620",,"-                                                                           4,269,262"
"a)  Fiziki şəxslərin tələbli depozitləri, cəmi",-,-,"1,840,160"
a1) faizsiz tələbli depozitlər,-,-,"1,840,160"
a2) faizli tələbli depozitlər,-,-,-
"b) Hüquqi şəxslərin tələbli depozitləri (qeyri-bank maliyyə institutlarının cari hesabları da daxil olmaqla), cəmi","2,278,057",-,"2,429,102"
b1) faizsiz tələbli depozitlər,-,-,"2,429,102"
b2) faizli tələbli depozitlər,"2,278,057",-,-
"c) Fiziki və hüquqi şəxslərin müddətli depozitləri, cəmi","2,456,563",-,-
c1) fiziki şəxslərin müddətli depozitləri,"1,312,763",,
c2) hüquqi şəxslərin müddətli depozitləri,"1,143,800",,
"2. Mərkəzi Bankın banka qarşı tələbləri, cəmi",491,-,-
a) auksion əsasında,-,-,-
b) overdraft,-,-,-
c) təminatlı kreditlər (lombard),-,-,-
d) digər,491,-,-
"3. Digər bankların tələbləri (“Loro"" hesabları), cəmi",-,-,"11,043"
a) Rezident banklar,-,,"-                                                                                   1,627"
b) Qeyri-rezident banklar,-,,"-                                                                                   9,415"
4. REPO əməliyyatları  üzrə,"893,537",-,-
"5. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də daxil olmaqla, 7 günədək olan kreditlər), cəmi",-,-,-
a) Rezident banklar,-,-,-
b) Qeyri-rezident banklar,-,-,-
"6. Bankların və digər maliyyə institutların (3-cü və 5-ci sətirlər istisna edilməklə) depozitləri, cəmi","120,869",-,-
"6.1  Bankların depozitləri, cəmi",-,-,-
a) Rezident banklar,,-,-
b) Qeyri-rezident banklar,-,-,-
"6.2 Banklar istisna olmaqla, digər maliyyə institutlarının depozitləri, cəmi","120,869",-,-
a) Rezident maliyyə institutları,"120,869",-,-
b) Qeyri-rezident maliyyə institutları,-,-,-
"7. Bankların kreditləri (7 gündən artıq olan müddətə), cəmi","40,354",-,-
"7.1 Rezident banklar, cəmi","40,354",-,-
a) təminatlı,-,-,-
b) təminatsız,"40,354",-,-
"7.2 Qeyri-rezident banklar, cəmi",-,-,-
a) təminatlı,-,-,-
b) təminatsız,-,-,-
"8. Banklar istisna olmaqla, digər maliyyə institutlarının kreditləri, cəmi","498,709",-,-
a) Rezident maliyyə institutlarından alınmış,"498,709",-,-
b) Qeyri-rezident maliyyə institutlarından alınmış,-,-,-
c) Beynəlxalq təşkilatlarından alınmış,-,-,-
9. Mərkəzi idarəetmə orqanlarının depozitləri və kreditləri,-,-,-
10. Bələdiyyələrin depozitləri və kreditləri,-,-,-
11. Bankın öz ehtiyacları üçün aldığı ipoteka kreditləri,-,-,-
12. Bank tərəfindən buraxılmış qiymətli kağızlar,"406,000",-,-
13. Digər passivlər,-,-,"465,854"
14. Kapital,-,,"-                                                                           1,007,365"
14. Cəmi öhdəliklər,"6,694,580",-,"4,746,158"
