,,Kreditlərin təsnifləşdirilməsi haqqında məlumatlar,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,(min manatla),,,,,,,,,,,,,,,,,,
,Məbləğ,Cəmi kredit portfelində xüsusi çəkisi,Yaradılmış adi ehtiyat,Yaradılmış adi ehtiyatın kredit portfelində  payı,,Yaradılmış məqsədli ehtiyat,,Yaradılmış məqsədli ehtiyatın kredit,,,,,,,,,,,,,,,,,,,
,,,,(faizlə),,,,portfelində payı (faizlə),,,,,,,,,,,,,,,,,,,
"1. Cəmi kredit portfeli, o cümlədən","5,338,917",X,"85,115",,1.59%,,"593,070",,11.11%,,,,,,,,,,,,,,,,,,
1.1.Standart kreditlər,"2,986,662",55.94%,"85,115",,1.59%,X,,X,,,,,,,,,,,,,,,,,,,
1.1.1. Qənaətbəxş kreditlər,"2,641,085",49.47%,"26,411",,0.49%,X,,X,,,,,,,,,,,,,,,,,,,
1.1.2. Nəzarət altında olan kreditlər,"345,577",6.47%,"58,704",,1.10%,X,,X,,,,,,,,,,,,,,,,,,,
1.2. Qeyri-standart kreditlər,"1,920,136",35.96%,X,X,,,"593,070",,11.11%,,,,,,,,,,,,,,,,,,
Qeyri-qənaətbəxş,"1,753,779",32.85%,X,X,,,"433,430",,8.12%,,,,,,,,,,,,,,,,,,
Təhlükəli,"13,434",0.25%,X,X,,,"6,717",,0.13%,,,,,,,,,,,,,,,,,,
Ümidsiz,"152,923",2.86%,X,X,,,"152,923",,2.86%,,,,,,,,,,,,,,,,,,
1.3. Ehtiyat yaradılmayan kreditlər,"432,119",8.09%,X,X,,X,,X,,,,,,,,,,,,,,,,,,,
,,,,"Kreditlərin, o cümlədən, vaxtı keçmiş kreditlərin iqtisadi rayonlar üzrə bölgüsü(min manatla)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,İqtisadi rayonlar üzrə ayrılıqda,,,,,,,,,,,,,
№,Müştəri və kreditlər,Cəmi sayı,Cəmi məbləğ,,Bakı-Abşeron,,,,Quba-Xaçmaz,,,Dağlıq Şirvan,,Aran,,Lənkəran-Astara,,Şəki-Zaqatala,,Gəncə-Qazax,,Yuxarı Qarabağ,,Kəlbəcər-Laçın,,Naxçıvan MR,
,,,,Sayı,,Məbləğ,,Sayı,,Məbləğ,Sayı,,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ,Sayı,Məbləğ
1,Hesabat tarixinə  xidmət göstərilən müştərilər,"1,685,111",X,,"1,229,302",,X,,"38,816",X,,"13,486",X,"165,621",X,"59,524",X,"31,938",X,"78,707",X,"27,004",X,283,X,"40,430",X
2,Kredit portfeli,"2,195,236","5,338,917",,"1,611,706",,"4,066,929",,"49,407","80,221",,"17,295","31,004","215,089","422,604","76,612","135,362","39,235","81,034","98,392","249,474","35,058","61,127",385,"1,226","52,057","209,936"
3,Vaxtı keçmiş kreditlər,"36,046","72,869",,"27,647",,"51,252",,664,"2,208",,303,636,"3,076","6,774",869,"1,537",572,975,"1,901","4,760",488,"1,096",3,12,523,"3,620"
,İri kredit tələblərinin məbləği və məcmu kapitala nisbəti,,,,,,,,,,,,,,,,,,,,,,,,,,
№,İri kredit tələblərinin məbləği*,İri kredit tələbinin bankın məcmu,,,,,,,,,,,,,,,,,,,,,,,,,
,,kapitalına nisbəti (%-lə),,,,,,,,,,,,,,,,,,,,,,,,,
1,"82,104.44",10.56%,,,,,,,,,,,,,,,,,,,,,,,,,
* “Bir borcalan və ya bir-biri ilə əlaqədar borcalanlar qrupu üzrə kredit risklərinin tənzimlənməsi haqqında Qaydalar”ına əsasən iri kredit tələbi bir borcalana və ya bir-biri ilə əlaqədar borcalanlar qrupuna qarşı bankın tutulmalardan sonra I dərəcəli,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sabit və dəyişkən faizi olan aktiv və öhdəliklərin təsnifatı,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(min manatla),,,,,,,,,,,,,,,,,,,,,,,,
Aktivlərin   maddələri,,(Hesabat ili qeyd edilsin),,,,,,,,,,,,,,,,,,,,,,,,,
,sabit faizlə,dəyişkən faizlə,faizsiz,,,,,,,,,,,,,,,,,,,,,,,,
"1. Nağd vəsaitlər (banknotlar və sikkələr, yolda, bankomatlarda və mübadilə şöbələrində olan nağd vəsaitlər daxil",-,"-                                                                           1,468,102",,,,,,,,,,,,,,,,,,,,,,,,,
"olmaqla), cəmi",,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Mərkəzi Bankda müxbir hesab, cəmi",-,"-                                                                           1,937,167",,,,,,,,,,,,,,,,,,,,,,,,,
"3. ""Nostro"" hesabları (başqa banklardakı müxbir hesabları), cəmi",-,-,"145,999",,,,,,,,,,,,,,,,,,,,,,,,
a) Rezident banklar,-,"-                                                                                 24,292",,,,,,,,,,,,,,,,,,,,,,,,,
b) Qeyri-rezident banklar,-,-,"121,706",,,,,,,,,,,,,,,,,,,,,,,,
"4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də daxil olmaqla, 7 günədək olan vəsaitlər), cəmi","45,000",-,-,,,,,,,,,,,,,,,,,,,,,,,,
a) Rezident banklar,"45,000",-,-,,,,,,,,,,,,,,,,,,,,,,,,
b) Qeyri-rezident banklar,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
"5. Banklar da daxil olmaqla, maliyyə institutlarındakı depozitlər, cəmi","54,115",-,-,,,,,,,,,,,,,,,,,,,,,,,,
"5.1.Banklardakı depozitlər ( 3-cü və 4-cü sətirlər istisna edilməklə), cəmi","54,115",-,-,,,,,,,,,,,,,,,,,,,,,,,,
a) Rezident banklar,"27,000",-,-,,,,,,,,,,,,,,,,,,,,,,,,
b) Qeyri-rezident banklar,"27,115",-,-,,,,,,,,,,,,,,,,,,,,,,,,
"5.2 Digər maliyyə institutlarında depozitlər, cəmi",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
a) Rezident maliyyə institutlarında,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
b) Qeyri-rezident maliyyə institutlarında,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
6. Əks REPO əməliyyatları üzrə,"21,339",-,-,,,,,,,,,,,,,,,,,,,,,,,,
"7. Qiymətli kağızlar, cəmi","3,060,024",-,-,,,,,,,,,,,,,,,,,,,,,,,,
a) ödəniş müddətinədək saxlanılan,"2,845,502",-,-,,,,,,,,,,,,,,,,,,,,,,,,
b) ticarət üçün alınmış qiymətli kağızlar,"214,522",-,-,,,,,,,,,,,,,,,,,,,,,,,,
"8. Banklara kreditlər (5-ci sətir üzrə banklararası qısamüddətli maliyyə alətləri istisna olmaqla), cəmi","14,450",-,-,,,,,,,,,,,,,,,,,,,,,,,,
a) Rezident banklara,"8,500",-,-,,,,,,,,,,,,,,,,,,,,,,,,
b) Qeyri-rezident banklara,"5,950",-,-,,,,,,,,,,,,,,,,,,,,,,,,
"9. Digər maliyyə institutlarına kreditlər, cəmi","9,578",-,-,,,,,,,,,,,,,,,,,,,,,,,,
a) Rezident maliyyə institutlarına,"9,578",-,-,,,,,,,,,,,,,,,,,,,,,,,,
