Unnamed: 0,Ödəniş müddətinin bitməsinə qalan günlər,Ani,1 - 7 gün,8-90 gün,3-6 ay,6 ay- 9 ay,9 ay-1 il,1-2 il,2-5 il,5 ildən çox,Ümumi
1,Aktivlər,"1,918,644","3 20,974","1,551,879","6 90,762","472,510","7 01,573","2 ,787,259","1 ,532,879","2,471,625","12,448,104"
1.1,Nağd pul və ekvivalentləri,"1 ,779,991",-,-,-,-,-,-,-,"1,771,277","3 ,551,268"
1.2,Qiymətli kağızlar,-,"14,498","1,018,891","2 10,493","6 2,994","2 52,033","1 ,128,570","248,912","1 23,635","3 ,060,024"
1.3,Müştərilərə verilmiş kreditlər (xalis),"11,992","55,388","471,928","4 68,067","405,786","4 46,852","1 ,655,727","1 ,281,582","5 41,595","5 ,338,917"
1.4,Kredit təşkilarına və digər maliyyə institutlarına verilmiş kreditlər (xalis),-,-,419,7 95,"3 ,730","2,688","2,961","2 ,385","1 1,050","24,028"
1.5,Əks REPO əməliyyatları üzrə,-,-,"2 1,339",-,-,-,-,-,-,"21,339"
1.6,Qısamüddətli maliyyə alətləri,,"45,000",-,-,-,-,-,-,-,"45,000"
1.7,Törəmə maliyyə alətləri,-,-,-,-,-,-,-,-,-,-
1.8,Bankın depozitləri,"3,405",-,"3 9,303","11,407",-,-,-,-,-,"54,115"
1.9,"“Nostro"" hesabları","1 23,256",-,-,-,-,-,-,-,-,"123,256"
1.9.1,16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyatlar,-,-,-,-,-,-,-,-,"(618,238)","( 618,238)"
1.9.2,Digər maliyyə aktivlər,-,"206,089",-,-,-,-,-,-,"6 42,306","848,395"
2,Öhdəliklər,"6,822,574","9,745","1,810,207","8 17,529","261,497","3 70,559","1 96,399","155,606","2,003,988","12,448,104"
2.1,ARMB və dövlət təşkilatlarının banka qarşı tələbləri,-,-,-,-,-,-,,-,491,4 91
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,215.12,-,"997,386","1,321","1 ,902","2,725","14,410","74,879","4 60,631","1 ,553,469"
2.3,Müştərilərin depozitləri:,"6,608,963","9,745","762,821","766,208","259,595","367,834","181,989","46,727",-,"9 ,003,882"
2.3.1,tələbli depozitlər,"6 ,547,319",,-,-,-,-,,-,,"6 ,547,319"
2.3.2,müddətli depozitlər,"61,643","9,745","762,821","7 66,208","259,595","3 67,834","1 81,989","46,727",-,"2 ,456,563"
2.4,Subordinasiya öhdəlikləri,-,-,-,-,-,-,-,"17,000","2 46,500","263,500"
2.5,Borc qiymətli kağızları,-,-,"5 0,000","50,000",-,-,-,"17,000","2 89,000","406,000"
2.6,"“Loro"" hesabları","10,927",-,-,-,-,-,-,-,-,"10,927"
2.7,Digər maliyyə öhdəliklər,"2 02,469",-,-,-,-,-,-,-,-,"202,469"
2.8,Kapital,-,-,-,-,-,-,-,-,"1,007,365","1 ,007,365"
3,"Likvidlik ""qəpi""","(4,903,930)","3 11,229","( 258,328)","( 126,767)","211,013","3 31,013","2 ,590,860","1 ,377,273","4 67,638",(0.00)
