Kreditlərin iqtisadi sektorlar üzrə bölgüsü,Cəmi   (min manatla),Vaxtı keçmiş kreditlər (min manatla)*,Vaxtı keçmiş kreditlərin portfeldə payı (faizlə)
"Cəmi kredit portfeli, o cümlədən","5,338,917","125,398",2.35%
1.Sənaye,"400,635","1,103",0.28%
1.1.1 Mədən çıxarma sənayesi,"13,121",29,0.22%
"1.1.2 Emal sənayesi, cəmi","75,530",882,1.17%
1.1.3 Elektrik enerjisi və Qazın istehsalı,"305,228",0,0.00%
1.1.4 Sənayenin digər sahələri,"6,756",193,2.85%
2. Kənd təsərrüfatı,"102,125","4,490",4.40%
3. Tikinti sahəsi,"97,012","2,804",2.89%
"4. Nəqliyyat, cəmi","35,828",503,1.40%
5. İnformasiya və Rabitə,"60,604",177,0.29%
"6. Ticarət müəssisələrinə kredit, cəmi","482,916","14,032",2.91%
7. Digər qeyri-istehsal və xidmət sahələri,"545,392","6,780",1.24%
8.  Mərkəzi idarəetmə orqanları və bələdiyyələr,0,0,0.00%
9. İctimai Təşkilatlara,0,0,0.00%
"10. Şəxsi, ailəvi və sair məqsədlər üçün fiziki şəxslərə kreditlər, cəmi","3,614,405","95,510",2.64%
a) Yaşayış sahəsinin alınmasına,"607,761","6,462",1.06%
"a1) o cümlədən,  daşınmaz əmlakla təmin olunmuş","607,761","6,462",1.06%
b) Yaşayış sahəsinin tikintisi və təmirinə,0,0,0.00%
"b1) o cümlədən,  daşınmaz əmlakla təmin olunmuş",0,0,0.00%
c) Avtomobil alınmasına,0,0,0.00%
d) Məişət avadanlıqlarının alınmasına,0,0,0.00%
e) Kredit kartları,"753,151","20,286",2.69%
f) Digər,"2,253,493","68,762",3.05%
11. Digər Kreditlər,0,0,0.00%
