Unnamed: 0,Faiz riski,Unnamed: 1,min manatla
1.0,,Faiz dərəcəsinə görə cəmi aktivlər,"8 ,543,423"
1.1,,0-3 ay,"1 ,682,161"
1.2,,3-6 ay,"6 90,762"
1.3,,6-12 ay,"1 ,174,083"
1.4,,12-24 ay,"2,787,259"
1.5,,24-36 ay,"9 45,836"
1.6,,36 aydan yuxarı,"1 ,263,323"
2.0,,Faiz dərəcəsinə həssas cəmi öhdəliklər,"6 ,694,580"
2.1,,0-3 ay,"4,159,868"
2.2,,3-6 ay,"8 17,529"
2.3,,6-12 ay,"6 32,056"
2.4,,12-24 ay,"1 96,399"
2.5,,24-36 ay,"7 0,072"
2.6,,36 aydan yuxarı,"8 18,657"
3.0,,“Qəp”,"1 ,848,843"
3.1,,0-3 ay,"(2,477,707)"
3.2,,3-6 ay,"( 126,767)"
3.3,,6-12 ay,"5 42,026"
3.4,,12-24 ay,"2 ,590,860"
3.5,,24-36 ay,"8 75,764"
3.6,,36 aydan yuxarı,"4 44,666"
