Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,(min manatla)
,,,,,,Yaradılmış adi ehtiyatın kredit portfelində  payı,,Yaradılmış məqsədli ehtiyatın kredit
,Məbləğ,,Cəmi kredit portfelində xüsusi çəkisi,Yaradılmış adi ehtiyat,,,Yaradılmış məqsədli ehtiyat,
,,,,,,(faizlə),,portfelində payı (faizlə)
"1. Cəmi kredit portfeli, o cümlədən",,"5,338,917",X,,"85,115",1.59%,"593,070",11.11%
1.1.Standart kreditlər,,"2,986,662",55.94%,,"85,115",1.59%,X,X
1.1.1. Qənaətbəxş kreditlər,,"2,641,085",49.47%,,"26,411",0.49%,X,X
1.1.2. Nəzarət altında olan kreditlər,,"345,577",6.47%,,"58,704",1.10%,X,X
1.2. Qeyri-standart kreditlər,,"1,920,136",35.96%,X,,X,"593,070",11.11%
Qeyri-qənaətbəxş,,"1,753,779",32.85%,X,,X,"433,430",8.12%
Təhlükəli,,"13,434",0.25%,X,,X,"6,717",0.13%
Ümidsiz,,"152,923",2.86%,X,,X,"152,923",2.86%
1.3. Ehtiyat yaradılmayan kreditlər,,"432,119",8.09%,X,,X,X,X
