Aktivlərinmaddələri,Unnamed: 0,Unnamed: 1,(Hesabat ili qeyd edilsin),Unnamed: 2,Unnamed: 3,Unnamed: 4
,,sabit faizlə,dəyişkən faizlə,,faizsiz,
"1. Nağd vəsaitlər (banknotlar və sikkələr, yolda, bankomatlarda və mübadilə şöbələrində olan nağd vəsaitlər daxil",,,,,,
,,,-,-,,"1,468,102"
"olmaqla), cəmi",,,,,,
"2. Mərkəzi Bankda müxbir hesab, cəmi",,,-,-,,"1,937,167"
"3. ""Nostro"" hesabları (başqa banklardakı müxbir hesabları), cəmi",,,-,-,,"145,999"
a) Rezident banklar,,,-,-,,"24,292"
b) Qeyri-rezident banklar,,,-,-,,"121,706"
"4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də daxil olmaqla, 7 günədək olan vəsaitlər), cəmi",,,"45,000",-,,-
a) Rezident banklar,,,"45,000",-,,-
b) Qeyri-rezident banklar,,,-,-,,-
"5. Banklar da daxil olmaqla, maliyyə institutlarındakı depozitlər, cəmi",,,"54,115",-,,-
"5.1.Banklardakı depozitlər ( 3-cü və 4-cü sətirlər istisna edilməklə), cəmi",,,"54,115",-,,-
a) Rezident banklar,,,"27,000",-,,-
b) Qeyri-rezident banklar,,,"27,115",-,,-
"5.2 Digər maliyyə institutlarında depozitlər, cəmi",,,-,-,,-
a) Rezident maliyyə institutlarında,,,-,-,,-
b) Qeyri-rezident maliyyə institutlarında,,,-,-,,-
6. Əks REPO əməliyyatları üzrə,,,"21,339",-,,-
"7. Qiymətli kağızlar, cəmi",,,"3,060,024",-,,-
a) ödəniş müddətinədək saxlanılan,,,"2,845,502",-,,-
b) ticarət üçün alınmış qiymətli kağızlar,,,"214,522",-,,-
"8. Banklara kreditlər (5-ci sətir üzrə banklararası qısamüddətli maliyyə alətləri istisna olmaqla), cəmi",,,"14,450",-,,-
a) Rezident banklara,,,"8,500",-,,-
b) Qeyri-rezident banklara,,,"5,950",-,,-
"9. Digər maliyyə institutlarına kreditlər, cəmi",,,"9,578",-,,-
a) Rezident maliyyə institutlarına,,,"9,578",-,,-
b) Qeyri-rezident maliyyə institutlarına,,,-,-,,-
10. Müştərilərə verilən kreditlər,,,"5,338,917",-,,-
"11. Könəlmə çıxılmaqla bank işində istifadə olunan əsas vəsaitlər, cəmi",,,-,-,,-
"12. Bank işində istifadə olunmayan daşınmaz əmlak (ehtiyatlar çıxılmaqla), cəmi",,,-,-,,-
13. İcmallaşmamış törəmə təsərrüfat cəmiyyətlərdə iştirak (50%+1 səs hüququ verən səhm və ya başqa formada,,,,,,
,,,-,-,,-
"törəməsidirsə), cəmi",,,,,,
"14. Digər təsərrüfat cəmiyyətlərində iştirak (50%-dən az), cəmi",,,-,-,,-
15. Amortizasiya çıxılmaqla qeyri-maddi aktivlər,,,-,-,,-
17. Digər aktivlər,,,-,-,,"683,566"
18. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün yaradılmış ehtiyatlar,,,-,-,,-
