Valyuta riski,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,min manatla,Unnamed: 6
,Maliyyə aktivləri və öhdəlikləri,Cəmi,AZN,ABŞ Dolları,Avro,Digər
1,Aktivlər,4873400.89,2885620.14,1441184.3099999998,73740.64,6370.07
1.1,Nağd və nağd pul ekvivalentləri,1575097.5199999998,819054.8699999999,697485.45,51458.47,7098.73
1.2,Qiymətli kağızlar,492041.76,418399.53,73642.23,0,0
1.3,Müştərilərə verilmiş kreditlər,1875583.6700000002,1473218.96,385904.6,16460.11,0
1.4,Kredit təşkilatlarına və digər maliyyə institutlarına verilmiş kreditlər,335943.93,303175.64,32768.28999999999,0,0
1.5,Törəmə maliyyə alətləri,0,0,0,0,0
1.6,Qısa müddətli maliyyə alətləri,85000,0,85000,0,0
1.7,Əsas vəsaitlər,59560.95,59560.95,0,0,0
1.8,Digər aktivlər,450173.06,357759.88,88593.85999999999,3524.56,294.76
2,Öhdəliklər,4361939.35,2961718.31,1324703.69,70079.89,5437.46
2.1,Mərkəzi Bank və dövlət təşkilatlarıın banka qarşı tələbləri,2159.87,2159.87,0,0,0
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,418732.00000000006,239343.96000000002,178307.98,1079.01,1.05
2.3,Müştərilərin depozitləri,3631766.59,2456455.79,1101309.3499999999,68605.81,5395.639999999999
2.3.1,a) tələbli depozitlər,2931939.68,2177090.15,680848.08,68605.81,5395.639999999999
2.3.2,b) müddətli depozitlər,699826.9099999999,279365.64,420461.26999999996,0,0
2.4,Subordinasiya öhdəlikləri,0,0,0,0,0
2.5,Borc qiymətli kağızları,0,0,0,0,0
2.6,Digər öhdəliklər,309280.89,263758.69,45086.36,395.07,40.77
faizlə,,,,,,
3,Açıq valyuta mövqeyi əmsalı,0.02163360159541888,0,0.016092153502005213,0.001371233737739714,0.004170214355673954
3.1,Sərbəst dönərli valyutalar üzrə məcmu açıq valyuta mövqeyi (AVM),0.018483183643709,0,0.016092153502005213,0.001371233737739714,0.0010197964039640732
3.2,Qapalı valyuta üzrə məcmu AVM,0.0031504179517098806,0,0,0,0.0031504179517098806
3.3,Qiymətli metallar üzrə AVM,0,0,0,0,0
3.4,Məcmu AVM,0.02163360159541888,0,0.016092153502005213,0.001371233737739714,0.004170214355673954
