Valyuta riski,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,min manatla,Unnamed: 6
,Maliyyə aktivləri və öhdəlikləri,Cəmi,AZN,ABŞ Dolları,Avro,Digər
1,Aktivlər,5587762.94,4211157.2299999995,1279201.6,80702.87,16701.239999999998
1.1,Nağd və nağd pul ekvivalentləri,2006358.3099999998,1298881.16,624085.75,66692.49,16698.91
1.2,Qiymətli kağızlar,991589.8600000001,778808.05,212781.81,0,0
1.3,Müştərilərə verilmiş kreditlər,1917439.6400000001,1561323.56,344243.75,11872.33,0
1.4,Kredit təşkilatlarına və digər maliyyə institutlarına verilmiş kreditlər,318917.41,286457.33999999997,32460.070000000007,0,0
1.5,Törəmə maliyyə alətləri,0,0,0,0,0
1.6,Qısa müddətli maliyyə alətləri,53550,0,53550,0,0
1.7,Əsas vəsaitlər,60324.12,60324.12,0,0,0
1.8,Digər aktivlər,239583.59999999948,225362.99999999953,12080.219999999972,2138.0499999999884,2.3299999999981083
2,Öhdəliklər,4909479.490000001,3628924.2,1183822.86,80909.23000000001,15823.2
2.1,Mərkəzi Bank və dövlət təşkilatlarıın banka qarşı tələbləri,2159.87,2159.87,0,0,0
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,379123.1,244214,131372.39,2191.72,1344.99
2.3,Müştərilərin depozitləri,4035990.8000000003,2998275.87,951798.14,71559.79000000001,14357
2.3.1,a) tələbli depozitlər,3326876.75,2608290.36,632669.6,71559.79000000001,14357
2.3.2,b) müddətli depozitlər,709114.05,389985.51,319128.54000000004,0,0
2.4,Subordinasiya öhdəlikləri,68000,0,68000,0,0
2.5,Borc qiymətli kağızları,0,0,0,0,0
2.6,Digər öhdəliklər,424205.72000000003,384274.45999999996,32652.330000000075,7157.720000000001,121.21000000000186
faizlə,,,,,,
3,Açıq valyuta mövqeyi əmsalı,0.014603644078774323,0,0.035955771597321044,-0.02135212751854672,0
3.1,Sərbəst dönərli valyutalar üzrə məcmu açıq valyuta mövqeyi (AVM),0.015203644078774323,0,0.035955771597321044,-0.02135212751854672,0.0006
3.2,Qapalı valyuta üzrə məcmu AVM,-0.0006,0,0,0,-0.0006
3.3,Qiymətli metallar üzrə AVM,0,0,0,0,0
3.4,Məcmu AVM,0.014603644078774323,0,0.035955771597321044,-0.02135212751854672,0
