A. Aktivlər,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ani,,1-7,,8-14,,15-30,,31-60,,61-90,,91-120,,121-150,,151-180,,181-210,,211-240,,241-270,,271-300,,301-330,,331-365 (366),,1-2 il,,2-3 il,,3-5 il,,5 ildən artıq,,Cəmi,
assets,Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,"o cümlədən, XV
ilə (manat ekv.)"
,tot-ins,FXAZNEqui-ins,tot-1-7,FXAZNEqui-1-7,tot-8-14,"FXAZNEqui-8-
14",tot-15-30,"FXAZNEqui-15-
30",tot-31-60,"FXAZNEqui-31-
60",tot-61-90,"FXAZNEqui-61-
90",tot-91-120,"FXAZNEqui-91-
120",tot-121-150,"FXAZNEqui-121-
150",tot-151-180,"FXAZNEqui-151-
180",tot-181-210,"FXAZNEqui-181-
210",tot-211-240,"FXAZNEqui-211-
240",tot-241-270,"FXAZNEqui-241-
270",tot-271-300,"FXAZNEqui-271-
300",tot-301-300,"FXAZNEqui 301-
330",tot-331-365,"FXAZNEqui-331-
365",tot-1-2,FXAZNEqui-1-2,Tot-2-3,FXAZNEqui-2-3,tot-3-5,FXAZNEqui-3-5,tot>5,FXAZNEqui>5,tot-tot,FXAZNEqui-tot
"1. Nağd vəsaitlər (seyflərdə, bankomatlarda, valyuta mübadiləsi
şöbələrində, yolda)",618 726,182 332,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618 726,182 332
"2. AMB-na olan tələblər (məcburi ehtiyat fondu və ya müxbir
hesabları)",1 229 141,460 461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29 984,10 888,1 259 125,471 349
"3. “Nostro"" hesabları",69 445,69 445,0,0,0,0,0,0,0,0,484,484,627,627,830,830,0,0,9 639,9 639,9 712,9 712,257,257,0,0,0,0,2 327,2 327,3 910,3 910,0,0,0,0,0,0,97 231,97 231
a) Rezident banklara,1 810,1 810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 810,1 810
b) Qeyri-rezident banklara,67 635,67 635,0,0,0,0,0,0,0,0,484,484,627,627,830,830,0,0,9 639,9 639,9 712,9 712,257,257,0,0,0,0,2 327,2 327,3 910,3 910,0,0,0,0,0,0,95 421,95 421
"4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də
daxil olmaqla 7 günədək olanlar)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5. Banklar daxil da olmaqla, maliyyə institutlarına depozitlər, cəmi",26 056,6 056,51 000,51 000,0,0,0,0,17 000,0,0,0,0,0,13 600,0,0,0,8 500,0,20 000,0,0,0,0,0,8 500,0,25 500,0,20 389,20 389,0,0,0,0,0,0,190 545,77 445
a) Rezident maliyyə institutlarına,20 000,0,0,0,0,0,0,0,17 000,0,0,0,0,0,13 600,0,0,0,8 500,0,20 000,0,0,0,0,0,8 500,0,25 500,0,0,0,0,0,0,0,0,0,113 100,0
a1) müddəti çatmamış depozitlər,20 000,0,0,0,0,0,0,0,17 000,0,0,0,0,0,13 600,0,0,0,8 500,0,20 000,0,0,0,0,0,8 500,0,25 500,0,0,0,0,0,0,0,0,0,113 100,0
a2) qaytarılma müddəti bitmiş depozitlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
b) Qeyri-rezident maliyyə institutlarına,6 056,6 056,51 000,51 000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20 389,20 389,0,0,0,0,0,0,77 445,77 445
b1) müddəti çatmamış depozitlər,6 056,6 056,51 000,51 000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20 389,20 389,0,0,0,0,0,0,77 445,77 445
b2) qaytarılma müddəti bitmiş depozitlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
6. Əks REPO əməliyyatları üzrə,0,0,19 621,0,21 900,21 900,0,0,2 000,0,162 356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205 877,21 900
"7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla qiymətli
kağızlara investisiyalar",0,0,0,0,0,0,0,0,0,0,103 522,1 545,2 550,2 550,523,340,74 818,510,1 132,1 088,2 449,510,3 564,850,17 344,340,6 860,0,12 858,0,362 623,6 188,182 726,65 627,167 700,115 559,22 719,19 436,961 387,214 544
"8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarət üçün
qiymətli kağızlar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52 500,0,52 500,0
"9. 4-cü sətir üzrə banklararası bazarın qısamüddətli maliyyə alətləri
istisna olmaqla, banklara kreditlər",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 500,8 500,0,0,0,0,0,0,8 500,8 500
a) cari kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 500,8 500,0,0,0,0,0,0,8 500,8 500
a1) Rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a2) Qeyri-rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 500,8 500,0,0,0,0,0,0,8 500,8 500
b) vaxtı keçmiş kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1) Rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
b2) Qeyri-rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
"10. 4-cü sətir üzrə qısamüddətli maliyyə alətləri istisna olmaqla,
digər maliyyə institutlarına kreditlər",0,0,0,0,0,0,0,0,0,0,0,0,815,0,100,0,0,0,0,0,0,0,0,0,1 500,0,0,0,0,0,100,0,0,0,0,0,0,0,2 515,0
a) cari kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,815,0,100,0,0,0,0,0,0,0,0,0,1 500,0,0,0,0,0,100,0,0,0,0,0,0,0,2 515,0
a1) Rezident,0,0,0,0,0,0,0,0,0,0,0,0,815,0,100,0,0,0,0,0,0,0,0,0,1 500,0,0,0,0,0,100,0,0,0,0,0,0,0,2 515,0
a2) Qeyri-rezident,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b) vaxtı keçmiş kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1)Rezident,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
b2) Qeyri-rezident,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
11. Müştərilərə verilən kreditlər,35 213,5 848,2 800,80,7 157,69,18 681,1 550,59 625,200,64 064,2 699,57 465,1 603,66 964,5 923,70 427,11 818,72 547,9 278,56 135,90,51 895,373,56 857,1 340,67 543,7 722,58 811,1 641,778 396,101 403,353 628,113 675,132 399,76 908,288 207,8 092,2 298 813,350 314
