B. Öhdəliklər və kapital,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ani,,1-7,,8-14,,15-30,,31-60,,61-90,,91-120,,121-150,,151-180,,181-210,,211-240,,241-270,,271-300,,301-330,,331-365 (366),,1-2 il,,2-3 il,,3-5 il,,5 ildən artıq,,Cəmi,
liaAndCap,Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,"o cümlədən, XV
ilə (manat ekv.)"
,tot-insLia,"FXAZNEqui-
insLia",tot-0.25,FXAZNEqui-0.25,tot-0.5,FXAZNEqui-0.5,tot-1,FXAZNEqui-1,tot-2,FXAZNEqui-2,tot-3,FXAZNEqui-3,tot-4,FXAZNEqui-4,tot-5,FXAZNEqui-5,tot-6,FXAZNEqui-6,tot-7,FXAZNEqui-7,tot-8,FXAZNEqui-8,tot-9,FXAZNEqui-9,tot-10,FXAZNEqui-10,tot-11,FXAZNEqui-11,tot-12,FXAZNEqui-12,tot-24,FXAZNEqui-24,tot-36,FXAZNEqui-36,tot-60,FXAZNEqui-60,tot>60,FXAZNEqui>60,tot-totLia,"FXAZNEqui-
totLia"
"1. Depozitlər (banklar və digər maliyyə müəssisələri istisna
olmaqla), cəmi",3 670 570,757 819,5 244,1 128,9 295,3 005,47 890,3 762,19 762,4 760,28 071,3 944,31 214,4 355,31 026,3 982,23 457,4 774,22 068,3 564,52 163,18 054,54 920,8 715,59 161,38 834,21 184,7 044,47 213,24 080,235 842,180 626,51 153,17 078,176,0,0,0,4 410 409,1 085 524
a) fiziki şəxslərin tələbli depozitlər,781 548,166 717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781 548,166 717
"b) hüquqi şəxslərin tələbli depozitləri (bütün cari (qeyri-bank
maliyyə institutlarının cari hesabları da daxil olmaqla) və çek
hesabları daxil olmaqla)",2 889 019,591 099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 889 019,591 099
c) qaytarılma vaxtı bitməmiş fiziki şəxslərin müddətli depozitlər,3,3,5 244,1 128,7 495,3 005,47 890,3 762,19 762,4 760,15 646,3 944,17 789,4 355,18 601,3 982,23 457,4 774,15 432,3 564,39 102,5 304,23 952,8 715,29 396,9 069,21 184,7 044,47 162,24 080,67 981,12 765,51 153,17 078,176,0,0,0,451 426,117 332
d) qaytarılma vaxtı bitməmiş hüquqi şəxslərin müddətli depozitlər,0,0,0,0,1 800,0,0,0,0,0,12 425,0,13 425,0,12 425,0,0,0,6 636,0,13 060,12 750,30 968,0,29 765,29 765,0,0,51,0,167 862,167 862,0,0,0,0,0,0,288 417,210 377
e) qaytarılma müddəti bitmiş fiziki şəxslərin müddətli depozitlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f) qaytarılma müddəti bitmiş hüquqi şəxslərin müddətli depozitlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2. AMB-nın kreditləri,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2 160,0,0,0,2 160,XXX
