Likvidlik riski,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,min manatla
,Ödəniş müddətinin bitməsinə qalan günlər,Ani,1 - 7 gün,8-90 gün,3-6 ay,6 ay- 9 ay,9 ay-1 il,1-2 il,2-5 il,5 ildən çox,Ümumi
1,Aktivlər,1978580.7699999998,73420.55,456786.79,288718.3,235829.53,258097.46000000002,1173918.0399999993,505820,742602.9600034999,5713774.400003498
1.1,Nağd pul və ekvivalentləri,1847866,0,0,0,0,0,0,0,29984.1,1877850.1
1.2,Qiymətli kağızlar,0,0,103522.13,77891.3,7144.53,37061.32,362623.06,350425,75219.3,1013886.64
1.3,Müştərilərə verilmiş kreditlər (xalis),35213.38,2799.55,149526,194855,180577,183209,778396.0699999994,155395,288209.56,1968180.5599999994
1.4,Kredit təşkilarına və digər maliyyə institutlarına verilmiş kreditlər (xalis),0,0,0,915,0,1500,8600,0,0,11015
1.5,Qısamüddətli maliyyə alətləri,0,0,0,0,0,0,0,0,0,0
1.6,Törəmə maliyyə alətləri,0,0,0,0,0,0,0,0,0,0
1.7,Bankın depozitləri,26056.41,70621,203255,13600,28500,34000,20388.91,0,0,396421.32
1.8,"“Nostro"" hesabları ",69444.98,,483.66,1457,19608,2327.14,3910,0,,97230.78
1.9,16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyatlar,,,,,,,,,-18555.999996500024,
1.9.1,Digər maliyyə aktivlər,0,0,0,0,0,0,0,0,367746,367746
2,Öhdəliklər,3969080.34,25244.14,123423,99570.83,159530,136286,264059.6,69231.87,867348.4999999999,5713774.279999999
2.1,ARMB və dövlət təşkilatlarının banka qarşı tələbləri,0,0,0,0,0,0,0,2159.87,0,2159.87
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,0,20000.5,18405,13873.83,30380,8728,28217.6,15744,236021.62,371370.55
2.3,Müştərilərin depozitləri:,3670570.22,5243.64,105018,85697,129150,127558,235842,51328,0,4410406.86
2.3.1,tələbli depozitlər,3670567,0,0,0,0,0,0,0,0,3670567
2.3.2,müddətli depozitlər,3.22,5243.64,105018,85697,129150,127558,235842,51328,0,739839.86
2.4,Subordinasiya öhdəlikləri,0,0,0,0,0,0,0,0,59500,59500
2.5,Borc qiymətli kağızları,0,0,0,0,0,0,0,0,0,0
2.6," “Loro"" hesabları",4591.26,,,,,,,,,
2.7,Digər maliyyə öhdəliklər,293918.86,0,0,0,0,0,0,0,8500,302418.86
2.8,Kapital,,,,,,,,,563326.8799999999,
3,"Likvidlik ""qəpi""",-1990499.57,48176.41,333363.79,189147.46999999997,76299.53,121811.46000000002,909858.4399999994,436588.13,-124745.53999650001,0.12000349920708686
