Faiz riski,Unnamed: 1,min manatla
1.0,Faiz dərəcəsinə görə cəmi aktivlər,4029616.0099999993
1.1,0-3 ay,724445.3500000001
1.2,3-6 ay,430939.82000000007
1.3,6-12 ay,512100.0
1.4,12-24 ay,1352744.5299999993
1.5,24-36 ay,494633.31000000006
1.6,36 aydan yuxarı,514753.0
2.0,Faiz dərəcəsinə həssas cəmi öhdəliklər,2980819.0499999993
2.1,0-3 ay,1247216.66
2.2,3-6 ay,360912.47
2.3,6-12 ay,781385.0
2.4,12-24 ay,174314.98999999976
2.5,24-36 ay,148795.92999999953
2.6,36 aydan yuxarı,268194.0
3.0,“Qəp”,1048795.5099999998
3.1,0-3 ay,-522771.3099999998
3.2,3-6 ay,70027.3500000001
3.3,6-12 ay,-269286.0
3.4,12-24 ay,1178429.5399999996
3.5,24-36 ay,762710.0
3.6,36 aydan yuxarı,-170314.07
