Kreditlərin təsnifləşdirilməsi haqqında məlumatlar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
(min manatla),,,,,,
,Məbləğ,Cəmi kredit portfelində xüsusi çəkisi,Yaradılmış adi ehtiyat,Yaradılmış adi ehtiyatın kredit portfelində  payı (faizlə),Yaradılmış məqsədli ehtiyat,Yaradılmış məqsədli ehtiyatın kredit portfelində payı (faizlə)
"1. Cəmi kredit portfeli, o cümlədən",2652560.37,X,12239.550899999998,0.005244397465306212,371474.96249999997,0.14004392386364423
1.1.Standart kreditlər,982042.71,0.37022445223367334,12239.550899999998,0.005244397465306212,X,X
1.1.1. Qənaətbəxş kreditlər,863799.24,0.3256473442676066,9511.740899999999,0.004173915570247633,X,X
1.1.2. Nəzarət altında olan kreditlər,118243.47,0.04457710796606676,2727.81,0.001070481895058579,X,X
1.2. Qeyri-standart kreditlər,1327643.78,0.5005140674705926,X,X,371474.96249999997,0.14004392386364423
Qeyri-qənaətbəxş,1268050.19,0.47804762686701824,X,X,317012.5475,0.11951190671675456
Təhlükəli,10262.349999999999,0.003868846913369213,X,X,5131.174999999999,0.0019344234566846066
Ümidsiz,49331.240000000005,0.018597593690205062,X,X,49331.240000000005,0.018597593690205062
1.3. Ehtiyat yaradılmayan kreditlər,342873.88,0.12926148029573403,X,X,X,X
