Kredit riski,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Kredit portfelinin keyfiyyəti,,,,,,,,,,,,,,min manatla,
Kredit portfelinin sektorlar üzrə bölgüsü,Cəmi,Əsas məbləğ üzrə borc,,,,,,,,,,,,,
,,Cari,Vaxtı keçmiş günlər,,,,,,,,,,,,
,,,1-30 gün,31-60 gün,61-90 gün,91-120 gün,121-150 gün,151-180 gün,181-210 gün,211-240 gün,241-270 gün,271-300 gün,301-330 gün,331-365 (366) gün,1 il və  artıq
"Kredit portfeli, o cümlədən",2652560.369999999,2449266.27,128624.22,17549.5,8722.53,6095.87,5453.879999999999,3862.24,2666.15,2478.9500000000003,4002.16,1823.92,1885.19,2251.7400000000002,17877.75
  -Biznes,759206.53,723147.25,19329.300000000003,1153.5,181.90000000000146,195.94999999999982,1038.8099999999995,98.92999999999984,117.21000000000004,0,1869.9899999999998,0,0.2300000000000182,76.11000000000013,11997.350000000002
  -İstehlak,1602384.0799999996,1445664.79,100000.69,15676.05,8371.08,5899.92,4393.73,3763.31,2548.94,2478.9500000000003,2132.17,1823.92,1842.76,2175.63,5612.139999999999
  -Daşınmaz əmlak,290969.76,280454.23,9294.23,719.95,169.55,0,21.34,0,0,0,0,0,42.2,0,268.26
  -Digər kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Kreditlərin təminat üzrə bölgüsü,,,,,,,,,,,,,,,
,,,,,,,,min manatla,,,,,,,
Kredit portfelinin sektorlar üzrə bölgüsü,Cəmi,Təminatsız,Nağd vəsaitlə təmin olunan,Qızıl təminatlı,Daşınmaz əmlakla təmin olunan,Daşınar əmlakla təmin olunan,Qarantiyalar ilə təmin olunan,Kredit törəmə alətləri ilə təmin olunan,,,,,,,
"Kredit portfeli, o cümlədən",2652560.37,1921641.9200000002,25543,0,382869.76,322505.69,0,0,,,,,,,
  -Biznes,759206.53,352100.84,13200,0,91900,302005.69,0,0,0,,,,,,
  -İstehlak,1602384.08,1569541.08,12343,0,0,20500,0,0,,,,,,,
  -Daşınmaz əmlak,290969.76,0,0,0,290969.76,0,0,0,,,,,,,
  -Digər kreditlər,0,0,0,0,0,0,0,0,,,,,,,
,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,
