"1. I dərəcəli kapital (Əsas kapital) (Məcmu kapitalın 50 faizdən az
olmamalıdır)",476420
a) Adi səhmlər (tam ödənilmiş paylar),205850
b) Qeyri-kumulyativ müddətsiz imtiyazlı səhmlər,60000
c) Səhmlərin emissiyasından əmələ gələn əlavə vəsait,800
"d) Bölüşdürülməmiş xalis mənfəət (zərər), cəmi",209770
d1) əvvəlki illərin mənfəəti (zərəri),189700
d2) (çıx) cari ilin zərəri,0
d3) kapital ehtiyatları (fondları),20070
e) Digər,0
2. I dərəcəli kapitaldan tutulmalar,26867
a) Qeyri-maddi aktivlər,26867
b) Təxirə salınmış vergi aktivləri,0
3. Tutulmalardan sonra I dərəcəli kapitalı (I—2),449552
4. II dərəcəli kapital (I dərəcəli kapitalın məbləğindən çox olmamalıdır),394914
a) Cari ilin mənfəəti,308047
"b) Ümumi ehtiyatlar (aktivlər üzrə yaradılmış adi ehtiyatlardan çox
olmamaqla)",34167
c) Kapitalın digər komponentləri,52700
c1) kumulyativ müddətsiz imtiyazlı səhmlər,0
c2) subordinasiya borc öhdəlikləri,52700
d) Digər vəsaitlər,0
5. Məcmu kapital (3+4),844467
6. Məcmu kapitaldan tutulmalar :,42822
"a) Birləşməmiş (konsolidasiya olunmamış) törəmə banka və digər maliyyə
idarələrinin kapitalına və bütün qeyri-bank müəssisələrinə kapital
investisiyaları, o cümlədən qarşılıqlı investisiyalar (xalis)",31358
b) Bütün digər investisiyalar (xalis),11464
7. Tutulmalardan sonra məcmu kapital (5-6),801644
8. Risk dərəcəsi üzrə ölçülmuş yekun aktivlər*,4723069
8.1. 0%-lik risk qrupuna daxil olan aktivlər,0
8.2. 20%-lik risk qrupuna daxil olan aktivlər,119363
8.3. 35%-lik risk qrupuna daxil olan aktivlər,97236
8.4. 50%-lik risk qrupuna daxil olan aktivlər,548920
8.5. 75%-lik risk qrupuna daxil olan aktivlər,0
8.6. 100%-lik risk qrupuna daxil olan aktivlər,1665997
8.7. 100%-dən yuxarı risk qrupuna daxil olan aktivlər,2291553
