"Kreditlərin, həmçinin vaxtı keçmiş kreditlərin portfeldə payı və onun iqtisadi sektorlar üzrə göstəriciləri",Unnamed: 1,Unnamed: 2,Unnamed: 3
Kreditlərin iqtisadi sektorlar üzrə bölgüsü,Cəmi   (min manatla),Vaxtı keçmiş kreditlər (min manatla)*,Vaxtı keçmiş kreditlərin portfeldə payı (faizlə)
"Cəmi kredit portfeli, o cümlədən",3157769.3,44999.619999999995,0.014250445718121332
1.Sənaye ,259710.66999999998,1403.86,0.005405476794619181
1.1.1 Mədən çıxarma sənayesi,726.09,0,0
"1.1.2 Emal sənayesi, cəmi",228186.74,1403.86,0.006152241799852173
1.1.3 Elektrik enerjisi və Qazın istehsalı ,84,0,0
1.1.4 Sənayenin digər sahələri,30713.84,0,0
2. Kənd təsərrüfatı,26383.8,3320.03,0.12583592962348109
3. Tikinti sahəsi,10567.41,85.26,0.008068202142246777
"4. Nəqliyyat, cəmi",7217.06,0,0
5. İnformasiya və Rabitə,25814.49,0,0
"6. Ticarət müəssisələrinə kredit, cəmi",179225.92,1837.44,0.010252088537193726
7. Digər qeyri-istehsal və xidmət sahələri ,399422.68,2228.65,0.005579678149473135
8.  Mərkəzi idarəetmə orqanları və bələdiyyələr,0,0,0
   9. İctimai Təşkilatlara,0,0,0
"   10. Şəxsi, ailəvi və sair məqsədlər üçün fiziki şəxslərə kreditlər, cəmi",2249427.27,36124.38,0.016059367858557168
a) Yaşayış sahəsinin alınmasına,416321.27999999997,1799.53,0.004322455003981541
"a1) o cümlədən, daşınmaz əmlakla təmin olunmuş ",416321.27999999997,1799.53,0.004322455003981541
b) Yaşayış sahəsinin tikintisi və təmirinə,0,0,0
"b1) o cümlədən, daşınmaz əmlakla təmin olunmuş ",0,0,0
c) Avtomobil alınmasına,0,0,0
d) Məişət avadanlıqlarının alınmasına,0,0,0
e) Kredit kartları,433813.07,6821.8099999999995,0.015725229302104706
f) Digər,1399292.92,27503.039999999997,0.01965495544706965
    11. Digər Kreditlər,0,0,0
"*əsas məbləğ, yaxud ona hesablanan faizlər və ya hər hansı birinin ödənilməyən hissəsi üzrə ödənişləri müqavilədə və ya ödəniş qrafikində göstərilən tarixdən 30 (otuz) təqvim günündən artıq gecikdirilmiş kreditin qalıq məbləği",,,
