B. Öhdəliklər və kapital,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ani,,1-7,,8-14,,15-30,,31-60,,61-90,,91-120,,121-150,,151-180,,181-210,,211-240,,241-270,,271-300,,301-330,,331-365 (366),,1-2 il,,2-3 il,,3-5 il,,5 ildən artıq,,Cəmi,
liaAndCap,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,XVe (kmva.)nat,Cəmi,"oil əc ü(mmaləndaət ne,k XvV.)"
,tot-insLia,FXAinZsNLEiaqui-,tot-0.25,FXA0Z.N25Equi-,tot-0.5,FXAZNEqui-0.5,tot-1,FXAZNEqui-1,tot-2,FXAZNEqui-2,tot-3,FXAZNEqui-3,tot-4,FXAZNEqui-4,tot-5,FXAZNEqui-5,tot-6,FXAZNEqui-6,tot-7,FXAZNEqui-7,tot-8,FXAZNEqui-8,tot-9,FXAZNEqui-9,tot-10,FXAZNEqui-10,tot-11,FXAZNEqui-11,tot-12,FXAZNEqui-12,tot-24,FXAZNEqui-24,tot-36,FXAZNEqui-36,tot-60,FXAZNEqui-60,tot>60,FXAZNEqui>60,tot-totLia,FXAtoZtNLEiaqui-
"1o.l mDaeqploaz),i tcləərm (ibanklar və digər maliyyə müəssisələri istisna","5,289,814","719,253",541,34,"8,805","1,262","73,985","2,229","29,252","6,534","31,495","2,355","37,179","3,557","46,233","3,015","32,997","5,395","37,588","2,967","34,664","7,485","43,100","5,263","24,386","5,319","80,341","4,817","125,008","22,953","288,100","202,001","55,115","5,690",343,6,0,0,"6,238,948","1,000,136"
a) fiziki şəxslərin tələbli depozitlər,"1,487,717","214,078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,487,717","214,078"
b(dq) ae x hyi ü lr qio-ubl q maina şkq ə lmx a s )al lv əir əyi yn çə e t ə kinl ə hsb etis lti au btdll eaa prrıo ın zı nd it a lcə xar iri li ( ohb lem üst aaü qbn ll a ca) arır id a,"3,802,090","505,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,802,090","505,175"
cd)e pqoazyittalrəırl ma vaxtı bitməmiş fiziki şəxslərin müddətli,7,1,541,34,"8,805","1,262","45,985","2,229","23,852","3,134","17,495","2,355","20,179","3,557","20,233","3,015","26,497","5,395","14,088","2,967","34,664","7,485","41,100","5,263","24,386","5,319","30,341","4,817","49,808","22,953","87,338","13,739","55,115","5,690",343,6,0,0,"500,779","89,222"
dm)ü qdadyəttalri ıdlmepao vzaitxltəır b itməmiş hüquqi şəxslərin,0,0,0,0,0,0,"28,000",0,"5,400","3,400","14,000",0,"17,000",0,"26,000",0,"6,500",0,"23,500",0,0,0,"2,000",0,0,0,"50,000",0,"75,200",0,"200,762","188,262",0,0,0,0,0,0,"448,362","191,662"
ed)e pqoazyittalrəırl ma müddəti bitmiş fiziki şəxslərin müddətli,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fm) üqdadyətatlriı ldmeap omzüitdlədrə ti bitmiş hüquqi şəxslərin,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2. AMB-nın kreditləri,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,"1,080",0,,0,,0,,0,"1,080",XXX
"3. “Loro"" hesabları (bankların müxbir hesabları)
a) Rezident bankların","11,829
6,997","11,829
6,997",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,829
6,997","11,829
6,997"
b) Qeyri-rezident bankların,"4,833","4,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,833","4,833"
"4. REPO əməliyyatları üzrə
5a6l. .ə B Btla aən nrik k l l(a a7r r-a ıcn ri a vgs əüı nb d a idg zəə a r rd ı manx a qilla i yoza ylmn ə ı ai l n mqslı taş i t 7u q t ıgl s aüa rnm ınəüd d dəe dkp ə o tol z ili am tnlə alar l i iry)yə","0
0",0,"0
596",596,"2,500
0
0","0
0","0
0","0
0","0
0","0
0","0
18,700","0
18,700","0
542","0
542","0
0","0
0","0
25","0
25","0
0","0
0","0
36,000","0
34,000","0
0","0
0","0
17,000","0
17,000","0
0","0
0","0
300","0
0","0
86,893","0
83,870","0
512","0
512","0
0","0
0","0
972","0
972","2,500
0
161,540","0
0
156,216"
"a) Rezident maliyyə institutları
b) Qeyri-rezident maliyyə institutları",0,0,"596
0","596
0","0
0","0
0",0,0,0,0,"18,700","18,700",542,542,0,0,25,25,0,0,"36,000","34,000",0,0,"17,000","17,000",0,0,300,0,"86,893","83,870",512,512,0,0,972,972,"161,540
0","156,216
0"
7o.l aBnalanrk)lardan alınmış kreditlər (7 gündən artıq müddətli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40,354",0,0,0,0,0,0,0,"40,354",0
a) Rezident banklar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,354",,,,,,,,"40,354",0
b) Qeyri-rezident banklar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"8in.s Btietuytnlaərlıxnadlqan t əaşlkınilmatılşa kr rdeadxiitllə orlmaqla, digər maliyyə",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"342,013",,"342,013",0
9. Mərkəzi idarəetmə orqanlarının kreditləri və depozitləri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
11kr 01e ..d BÖit əzlə l eə rhd i tiiyyyaətllaərrıi nü kçrüend bitalənrki tvəərə dfienpdoəzni taləlırnimış ipoteka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0
0","0
0"
"1toə2 lra .ən fÖ ibnd odə rəm cn ə öb h mudrü əad lxi dıklə lmt ə l rıişi i msutbiyoarzdliın saəshiymalləı rb doarxci vl əo lsmaiarq blau, qbəabnikl dən",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59,500","59,500",0,0,"59,500","59,500"
"13. Digər passivlər
14. Kapital","254,785
0","19,472
0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,500
0","8,500
0","823,359",,"263,285
823,359","27,972
XXX"
15. Cəmi passivlər (öhdəliklər üstəgəl kapital),"5,556,429","750,554","1,137",630,"11,305","1,262","73,985","2,229","29,252","6,534","50,195","21,055","37,721","4,099","46,233","3,015","33,022","5,420","37,588","2,967","70,664","41,485","43,100","5,263","41,386","22,319","80,341","4,817","125,308","22,953","416,427","285,870","55,626","6,202","68,343","68,006","1,166,344",972,"7,944,408","1,255,653"
