Kapital Dəyişmələri,,"İlin əvvəlinə
qalıq","Mərkəzi Banka
göndərilmiş
dəqiqləşdirilmiş
kumulyativ
düzəlişlər","Müddət ərzində
dəyişikliklər","Müddətin
sonuna qalıq"
1,2,3,4,5,6
1. Adi Səhmlər,1,205850,0,0,205850
2. Müddətsiz İmtiyazlı Səhmlər,2,60000,0,0,60000
3. Geriyə alınmış adi səhmlər,3,0,0,0,0
4. Geriyə alınmış müddətsiz imtiyazlı səhml,4,0,0,0,0
5. Adi səhmlərin nominal və bazar qiymətlə,5,800,0,0,800
6. Müddətsiz İmtiyazlı səhmlərin nominal v,6,0,0,0,0
7. Dividendlər,7,X,X,171100,171100
"a) ödənilmiş adi səhmlər üzrə elan
olunmuş dividendlər",7a,X,X,162100,162100
"b) ödənilmiş müddətsiz imtiyazlı
səhmlər üzrə elan olunmuş dividendlər",7b,X,X,9000,9000
8. Bölüşdürülməmiş xalis mənfəət (zərər),8,517817,0,10912,528729
a) Əvvəlki illərin xalis mənfəəti (zərəri,8a,497747,0,-171100,326647
b) Cari ilin xalis mənfəət (zərəri),8b,X,X,182012,182012
c) Kapital ehtiyatları,8c,20070,0,0,20070
9. Ümumi ehtiyatlar,9,42186,0,16377,58564
"a) kreditlərdən və banklararası tələblər üzrə
mümkün zərərlərin ödənilməsi üçün adi
ehtiyatlar",9a,21797,0,4713,26510
"b) digər aktivlərdən olan mümkün zərərlərin
ödənilməsi üçün adi ehtiyatlar",9b,12370,0,10598,22968
c) əsas vəsaitlərin yenidən qiymətləndirilməsi,9c,1338,0,727,2065
d) digər ümumi ehtiyatlar,9d,6681,0,339,7020
10. Cəmi kapital,10,826653,0,27289,853943
