Sabit və dəyişkən faizi olan aktiv və öhdəliklərin təsnifatı,Unnamed: 1,Unnamed: 2,Unnamed: 3
(min manatla),,,
Aktivlərin   maddələri,(Hesabat ili qeyd edilsin),,
,,,
,sabit faizlə,dəyişkən faizlə,faizsiz
"1. Nağd vəsaitlər (banknotlar və sikkələr, yolda, bankomatlarda və mübadilə şöbələrində olan nağd vəsaitlər daxil olmaqla), cəmi",0,0,777289.56
"2. Mərkəzi Bankda müxbir hesab, cəmi",0,0,617501.34
"3. ""Nostro"" hesabları (başqa banklardakı müxbir hesabları), cəmi ",,,97742.12999999999
        a) Rezident banklar,,,9855.75
        b) Qeyri-rezident banklar,,,87886.37999999999
"4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də daxil olmaqla, 7 günədək olan vəsaitlər), cəmi",604477.5,,
        a) Rezident banklar,450000,,
        b) Qeyri-rezident banklar,154477.5,,
"5. Banklar da daxil olmaqla, maliyyə institutlarındakı depozitlər, cəmi ",160808.55,0,0
"5.1.Banklardakı depozitlər ( 3-cü və 4-cü sətirlər istisna edilməklə), cəmi",160808.55,0,0
a) Rezident banklar,137275,,
b) Qeyri-rezident banklar,23533.550000000003,,
"5.2 Digər maliyyə institutlarında depozitlər, cəmi",0,0,0
a) Rezident maliyyə institutlarında,,,
b) Qeyri-rezident maliyyə institutlarında,,,
6. Əks REPO əməliyyatları üzrə ,178732.38,,
"7. Qiymətli kağızlar, cəmi ",2036220.5000000002,,
a) ödəniş müddətinədək saxlanılan,1672598.7000000002,,
b) ticarət üçün alınmış qiymətli kağızlar,363621.8,,
"8. Banklara kreditlər (5-ci sətir üzrə banklararası qısamüddətli maliyyə alətləri istisna olmaqla), cəmi",17795,,
a) Rezident banklara,7595,,
b) Qeyri-rezident banklara,10200,,
"9. Digər maliyyə institutlarına kreditlər, cəmi",10231.260000000002,,
a) Rezident maliyyə institutlarına,10231.260000000002,,
b) Qeyri-rezident maliyyə institutlarına,,,
10. Müştərilərə verilən kreditlər,3860382.430000001,,
"11. Könəlmə çıxılmaqla bank işində istifadə olunan əsas vəsaitlər, cəmi",,,
"12. Bank işində istifadə olunmayan daşınmaz əmlak (ehtiyatlar çıxılmaqla), cəmi ",,,
"13. İcmallaşmamış törəmə təsərrüfat cəmiyyətlərdə iştirak (50%+1 səs hüququ verən səhm və ya başqa formada törəməsidirsə), cəmi",,,
"14. Digər təsərrüfat cəmiyyətlərində iştirak (50%-dən az), cəmi",,,
15. Amortizasiya çıxılmaqla qeyri-maddi aktivlər,,,
17. Digər aktivlər ,,,338007.2800000001
18. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün yaradılmış ehtiyatlar,,,0
18. Cəmi aktivlər,6868647.620000001,0,1830540.3099999998
,,,
(min manatla),,,
Öhdəliklərin maddələri,(Hesabat ili qeyd edilsin),,
,sabit faizlə,dəyişkən faizlə,faizsiz
"1. Depozitlər (banklar və digər maliyyə institutları istisna olmaqla), cəmi",3074906.6799999997,0,3408188.9800000004
"a)  Fiziki şəxslərin tələbli depozitləri, cəmi",327753.48,0,1001956.3400000001
a1) faizsiz tələbli depozitlər,,,1001956.3400000001
a2) faizli tələbli depozitlər,327753.48,,
"b) Hüquqi şəxslərin tələbli depozitləri (qeyri-bank maliyyə institutlarının cari hesabları da daxil olmaqla), cəmi",1584932.96,0,2406232.64
b1) faizsiz tələbli depozitlər,,,2406232.64
b2) faizli tələbli depozitlər,1584932.96,,
"c) Fiziki və hüquqi şəxslərin müddətli depozitləri, cəmi",1162220.2399999998,0,0
        c1) fiziki şəxslərin müddətli depozitləri,530955.4899999999,,
        c2) hüquqi şəxslərin müddətli depozitləri,631264.75,,
"2. Mərkəzi Bankın banka qarşı tələbləri, cəmi",1079.94,0,0
a) auksion əsasında,0,0,0
b) overdraft,0,0,0
c) təminatlı kreditlər (lombard),0,0,0
d) digər,1079.94,0,0
"3. Digər bankların tələbləri (“Loro"" hesabları), cəmi",0,0,5066.75
a) Rezident banklar,0,0,2436.5699999999997
b) Qeyri-rezident banklar,0,0,2630.18
4. REPO əməliyyatları  üzrə,188648,0,0
"5. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də daxil olmaqla, 7 günədək olan kreditlər), cəmi",146223.33000000002,0,0
        a) Rezident banklar,146223.33000000002,0,0
        b) Qeyri-rezident banklar,0,0,0
"6. Bankların və digər maliyyə institutların (3-cü və 5-ci sətirlər istisna edilməklə) depozitləri, cəmi",0,0,0
"6.1  Bankların depozitləri, cəmi",0,0,0
a) Rezident banklar,0,0,0
b) Qeyri-rezident banklar,0,0,0
"6.2 Banklar istisna olmaqla, digər maliyyə institutlarının depozitləri, cəmi",0,0,0
a) Rezident maliyyə institutları,,0,0
b) Qeyri-rezident maliyyə institutları,0,0,0
"7. Bankların kreditləri (7 gündən artıq olan müddətə), cəmi",40353.99,0,0
"7.1 Rezident banklar, cəmi",40353.99,0,0
a) təminatlı,40353.99,0,0
b) təminatsız,0,0,0
"7.2 Qeyri-rezident banklar, cəmi",0,0,0
a) təminatlı,0,0,0
