Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Məfəət və zərər haqqında hesabat,,,
min manatla,,,
,,Cari dövr,Keçən ilin müvafiq dövrü
,,2024-09-30 00:00:00,2023-09-30 00:00:00
1,Faiz gəlirləri:,512385.02999999997,445344.35000000003
1.1,Müştərilərə verilmiş kreditlər,390073.38,358956.38
1.2,Banklar və digər maliyyə institutlarına verilən kreditlər üzrə faiz gəlirləri,5930.49,5520.8099999999995
1.3,Banklar və digər maliyyə institutlarındakı depozitlər üzrə faiz gəlirləri,24275.1,11297.21
1.4,Ticarət və investisiya qiymətli kağızları üzrə faiz gəlirləri,84874.19,63892.009999999995
1.5,Digər faiz gəlirləri,7231.87,5677.9400000000005
1.6,Faiz borcları üzrə yaradılmış məqsədli ehtiyatlar,2991.79,7033.27
2,Faiz xərcləri:,77978.69,61404.61000000001
2.1,Depozitlər üzrə faizlər,55868.58,43978.3
2.2,Mərkəzi bank və dövlət fondları qarşısında öhdəliklər üzrə faiz xərcləri,0.82,1.23
2.3,Cəlb edilmiş kreditlərə görə ödənilən faizlər,13147.68,7711.48
2.4,Pul bazarı alətlərinə ödənilən faizlər,,
2.5,Qiymətli kağızlar üzrə faizlər,,
2.6,Digər faiz xərcləri,8961.61,9713.6
3,Xalis faiz gəliri(zərəri),431414.55,376906.47000000003
4,Qeyri-faiz gəlirləri:,331140.88999999996,287475.41
4.1,Alınan haqq və kommisiya gəliri,296858.11,252637.02
4.2,Xarici valyutadan gəlir/zərər (məzənnə dəyişməsi daxil olmaqla,32116.37,33905.06
4.3,Qiymətli kağızların satışından və yenidən qiymətləndirilməsindən gəlir/zərər,0,
4.4,Digər gəlirlər,2166.41,933.3299999999999
5,Qeyri-faiz xərcləri:,446904.68,331854.70999999996
5.1,Əmək haqqı və digər kompensiya növləri üzrə xərclər,156121.75999999998,137835.1
5.2,Ümumi və inzibati xərclər,36169.479999999996,15534.289999999999
5.3,Amortizasiya xərcləri,22884.51,32976.829999999994
5.4,Digər xərclər,231728.93,145508.49
6,Əməliyyat mənfəəti (zərəri),315650.75999999995,332527.17000000004
7,(Mümkün zərərlər üçün yaradılan məqsədli ehtiyatlar),80287.51,64782.109999999986
8,Mənfəət vergisindən əvvəlki mənfəət(zərər),235363.24999999994,267745.06000000006
9,Mənfəət vergisi,53351.12,57135.68
10,Dövr üzrə xalis mənfəət,182012.12999999995,210609.38000000006
