Kapital strukturunda dəyişikliklər haqqında hesabat,,,,,
(min manatla),,,,,
Kapital Dəyişmələri,,İlin əvvəlinə qalıq,"Mərkəzi Banka
göndərilmiş
dəqiqləşdirilmiş
kumulyativ düzəlişlər","Müddət ərzində
dəyişikliklər","Müddətin sonuna
qalıq"
1,2,3,4,5,6
1. Adi Səhmlər,1,"2 05,850",-,-,"2 05,850"
2. Müddətsiz İmtiyazlı Səhmlər,2,"6 0,000",-,-,"6 0,000"
3. Geriyə alınmış adi səhmlər,3,-,-,-,-
4. Geriyə alınmış müddətsiz imtiyazlı səhmlər,4,-,-,-,-
"5. Adi səhmlərin nominal və bazar qiymətləri
arasındakı fərq",5,8 00,-,-,8 00
"6. Müddətsiz İmtiyazlı səhmlərin nominal və
bazar qiymətləri arasındakı fərq",6,-,-,-,-
7. Dividendlər,7,X,X,-,-
"a) ödənilmiş adi səhmlər üzrə elan olunmuş
dividendlər",7a,X,X,-,-
"b) ödənilmiş müddətsiz imtiyazlı səhmlər
üzrə elan olunmuş dividendlər",7b,X,X,-,-
8. Bölüşdürülməmiş xalis mənfəət (zərər),8,"3 46,717",-,"3 13,602","6 60,319"
a) Əvvəlki illərin xalis mənfəəti (zərəri),8a,"3 26,647",-,"2 42,209","5 68,855"
b) Cari ilin xalis mənfəət (zərəri),8b,X,X,"7 1,393","7 1,393"
c) Kapital ehtiyatları,8c,"2 0,070",-,-,"2 0,070"
9. Ümumi ehtiyatlar,9,"5 5,721",-,"( 3,055)","5 2,666"
"a) kreditlərdən və banklararası tələblər üzrə
mümkün zərərlərin ödənilməsi üçün adi
ehtiyatlar",9a,"2 6,985",-,( 909),"2 6,076"
"b) digər aktivlərdən olan mümkün zərərlərin
ödənilməsi üçün adi ehtiyatlar",9b,"1 9,651",-,"( 2,147)","1 7,504"
"c) əsas vəsaitlərin yenidən
qiymətləndirilməsi",9c,"2 ,065",-,-,"2 ,065"
"d) qiymətli kağızların yenidən
qiymətləndirilməsi",9d,"7 ,020",-,-,"7 ,020"
e) digər ümumi ehtiyatlar,9e,-,-,-,-
10. Cəmi kapital,10,"6 69,088",-,"3 10,547","9 79,635"
