Kapital strukturunda dəyişikliklər haqqında hesabat,,,,,
(min manatla),,,,,
Kapital Dəyişmələri,,"İlin əvvəlinə
qalıq","Mərkəzi Banka göndərilmiş
dəqiqləşdirilmiş kumulyativ
düzəlişlər","Müddət ərzində
dəyişikliklər","Müddətin
sonuna qalıq"
1,2,3,4,5,6
1. Adi Səhmlər,1,"2 05,850",-,-,"2 05,850"
2. Müddətsiz İmtiyazlı Səhmlər,2,"6 0,000",-,-,"6 0,000"
3. Geriyə alınmış adi səhmlər,3,-,-,-,-
4. Geriyə alınmış müddətsiz imtiyazl,ı sə4hml,ər -,-,-,-
5. Adi səhmlərin nominal və bazar qi,ym5ətlə,ri a r a s ı n d a k ı8 f0ə0rq,-,-,8 00
6. Müddətsiz İmtiyazlı səhmlərin no,min6al v,ə b a z a r q i y m - ətlər,i a r a s ı n d a k ı f ə r q -,-,-
7. Dividendlər,7,X,X,"1 76,113","1 76,113"
"a) ödənilmiş adi səhmlər üzrə
elan olunmuş dividendlər",7a,X,X,"1 67,113","1 67,113"
"b) ödənilmiş müddətsiz
imtiyazlı səhmlər üzrə elan
olunmuş dividendlər",7b,X,X,"9 ,000","9 ,000"
8. Bölüşdürülməmiş xalis mənfəət (z,ərər8),"3 46,717",-,"2 32,169","5 78,886"
a) Əvvəlki illərin xalis mənfəəti,(zə8rəari),"3 26,647",-,"6 6,096","3 92,742"
b) Cari ilin xalis mənfəət (zərəri),8b,X,X,"1 66,073","1 66,073"
c) Kapital ehtiyatları,8c,"2 0,070",-,-,"2 0,070"
9. Ümumi ehtiyatlar,9,"5 5,721",-,"5 ,119","6 0,840"
"a) kreditlərdən və banklararası
tələblər üzrə mümkün zərərlərin
ödənilməsi üçün adi ehtiyatlar",9a,"2 6,985",-,"5 ,159","3 2,143"
"b) digər aktivlərdən olan
mümkün zərərlərin ödənilməsi
üçün adi ehtiyatlar",9b,"1 9,651",-,( 373),"1 9,278"
"c) əsas vəsaitlərin yenidən
qiymətləndirilməsi",9c,"2 ,065",-,3 33,"2 ,398"
"d) qiymətli kağızların yenidən
qiymətləndirilməsi",9d,"7 ,020",-,-,"7 ,020"
e) digər ümumi ehtiyatlar,9e,-,-,-,-
10. Cəmi kapital,10,"6 69,088",-,"2 37,288","9 06,376"
