,,,,,(min manatla)
Kapital Dəyişmələri,,İlin əvvəlinə qalıq,"Mərkəzi Banka
göndərilmiş
dəqiqləşdirilmiş
kumulyativ düzəlişlər","Müddət ərzində
dəyişikliklər",Müddətin sonuna qalıq
1,2,3,4,5,6
1. Adi Səhmlər,1,"2 05,850",-,-,"2 05,850"
2. Müddətsiz İmtiyazlı Səhmlər,2,"6 0,000",-,-,"6 0,000"
3. Geriyə alınmış adi səhmlər,3,-,-,-,-
4. Geriyə alınmış müddətsiz imtiyazlı səhmlər,4,-,-,-,-
5. Adi səhmlərin nominal və bazar qiymətləri arasındakı fərq,5,8 00,-,-,8 00
6. Müddətsiz İmtiyazlı səhmlərin nominal və bazar qiymətləri arasındakı fərq,6,-,-,-,-
7. Dividendlər,7,X,X,-,-
a) ödənilmiş adi səhmlər üzrə elan olunmuş dividendlər,7a,X,X,-,-
b) ödənilmiş müddətsiz imtiyazlı səhmlər üzrə elan olunmuş dividendlər,7b,X,X,-,-
8. Bölüşdürülməmiş xalis mənfəət (zərər),8,"5 99,314",-,"5 4,886","6 54,200"
a) Əvvəlki illərin xalis mənfəəti (zərəri),8a,"5 79,243",-,-,"5 79,243"
b) Cari ilin xalis mənfəət (zərəri),8b,X,X,"5 4,886","5 4,886"
c) Kapital ehtiyatları,8c,"2 0,070",-,-,"2 0,070"
9. Ümumi ehtiyatlar,9,"6 1,979",-,"2 4,536","8 6,516"
"a) kreditlərdən və banklararası tələblər üzrə mümkün zərərlərin ödənilməsi
üçün adi ehtiyatlar",9a,"3 2,449",-,"2 7,738","6 0,187"
b) digər aktivlərdən olan mümkün zərərlərin ödənilməsi üçün adi ehtiyatlar,9b,"2 0,170",-,"( 3,419)","1 6,751"
c) əsas vəsaitlərin yenidən qiymətləndirilməsi,9c,"2 ,398",-,-,"2 ,398"
d) qiymətli kağızların yenidən qiymətləndirilməsi,9d,"6 ,962",-,2 17,"7 ,180"
e) digər ümumi ehtiyatlar,9e,-,-,-,-
10. Cəmi kapital,10,"9 27,943",-,"7 9,422","1 ,007,365"
