A. Aktivlər,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,,,,,,,,,,,,,,,O cumlədən,,
,ani,1-7,8-14,15-30,31-60,61-90,91-120,121-150,151-180,181-210,211-240,241-270,271-300,301-330,331-365 (366),1-2 il,2-3 il,3-5 il,5 ildən artıq,Cəmi,sabit faizlə,dəyişkən faizlə,faizsiz
"1. Nağd vəsaitlər (seyflərdə, bankomatlarda, valyuta mübadiləsi
şöbələrində, yolda)","1,468,102",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,468,102",-,-,"1,468,102"
"2. AMB-na olan tələblər (məcburi ehtiyat fondu və ya müxbir
hesabları)","165,890",,,,,,,,,,,,,,,,,,"1,771,277","1,937,167",-,-,"1,937,167"
"3. “Nostro"" hesabları","145,999",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"145,999",-,-,"145,999"
"4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də daxil
olmaqla 7 günədək olanlar)",,"45,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"45,000","45,000",-,-
"5. Banklar daxil da olmaqla, maliyyə institutlarına depozitlər, cəmi","3,405",-,"27,000",-,-,"12,303",-,"11,407",-,-,-,-,-,-,-,-,-,-,-,"54,115","54,115",-,-
6. Əks REPO əməliyyatları üzrə,-,-,"21,339",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"21,339","21,339",-,-
"7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla qiymətli
kağızlara investisiyalar",-,"14,498","440,324","512,135","13,115","53,317","138,436","23,527","6,418","20,853","41,951",190,"221,943","8,960","21,130","1,084,895","222,520","21,291",-,"2,845,502","2 ,845,502",-,-
"8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarət üçün
qiymətli kağızlar",-,-,-,-,-,-,-,-,"42,112",-,-,-,-,-,-,"43,675",-,"5,100","123,635","214,522","214,522",-,-
"9. 4-cü sətir üzrə banklararası bazarın qısamüddətli maliyyə alətləri
istisna olmaqla, banklara kreditlər",-,-,-,-,-,-,-,-,-,-,-,"3,400",-,-,-,-,-,-,"11,050","14,450","14,450",-,-
"10. 4-cü sətir üzrə qısamüddətli maliyyə alətləri istisna olmaqla, digər
maliyyə institutlarına kreditlər",-,-,9,-,409,-,15,680,100,50,280,-,300,"1,081","1,307","2,961","2,385",-,-,"9,578","9,578",-,-
11. Müştərilərə verilən kreditlər,"11,992","55,388","59,224","53,865","172,118","186,721","171,562","154,140","142,366","143,645","137,181","124,960","150,652","125,758","170,443","1,655,727","720,931","560,652","541,595","5,338,917","5 ,338,917",-,-
"12. Amortizasiya çıxılmaqla əsas vəsaitlər (bank işində istifadə
olunmayan əsas vəsaitlər daxil olmaqla)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"94,255","94,255",-,-,-
13. İcmallaşmamış şirkətlərdə investisiyalar və maliyyə iştirakı,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"159,004","159,004",-,-,-
14. Qeyri-maddi aktivlər,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"34,826","34,826",-,-,-
15. Digər aktivlər,,"206,089",,,,,,,,,,,,,,,,,"477,477","683,566",-,-,"683,566"
"16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli
ehtiyatlar",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"618,238","618,238",-,-,-
17. Cəmi aktivlər,"1,795,388","320,974","547,896","565,999","185,642","252,341","310,013","189,754","190,995","164,548","179,412","128,550","372,895","135,799","192,879","2,787,259","945,836","587,043","2,594,881","12,448,103.71","8,543,423",0,"4,234,833"
